Gene.names,term
TDP1,myelin
YDR387C,myelin
MAM33,myelin
BAR1,myelin
IQG1,myelin
AIM3,myelin
CWP1,myelin
FIM1_4256,myelin
HEK2,myelin
ITR2,myelin
FMP16,myelin
YLR326W,myelin
PGD1,myelin
FIM1_5092,dendritic
KGD2,dendritic
RGT1,dendritic
YPL245W,dendritic
MNN1,dendritic
GAP1,dendritic
YER053C-A,dendritic
CIT3,dendritic
FIM1_1241,dendritic
YIG1,dendritic
SET3,dendritic
MDJ1,dendritic
ADH4b,dendritic
FOX2,dendritic
ACB1,dendritic
AGX1,dendritic
ATM1,dendritic
RPL21A,ion transport.
YJL133C-A,ion transport.
RPL34B,ion transport.
PDR16,ion transport.
HIS1,ion transport.
FIM1_4743,ion transport.
LAC12,ion transport.
ECM4,ion transport.
UGA2,ion transport.
RRP1,ion transport.
CRC1,ion transport.
OSW5,ion transport.
FIM1_3941,ion transport.
YRR1,ion transport.
DUS3,ion transport.
MET13,ion transport.
EHD3,ion transport.
SRP40,ion transport.
SSA3,ion transport.
FIM1_1576,ion transport.
ACAD11,ion transport.
MIT1,ion transport.
FIM1_1633,ion transport.
tRNA-Val,ion transport.
BAS1,ion transport.
PTI1,ion transport.
MCH5,ion transport.
KHT2,synaptic
MDH1,synaptic
FIM1_5154,synaptic
RFA2,synaptic
FIM1_3289,synaptic
DIP5,synaptic
FUS2,synaptic
FIM1_4760,synaptic
SPS4,synaptic
CYB5,synaptic
TPO1,synaptic
HGT1,synaptic
ICL1,synaptic
CLB5,synaptic
JEN1,metabolic
ARO10,metabolic
ASE1,metabolic
DUR3,metabolic
FIM1_3864,metabolic
CTR2,metabolic
HOS4,metabolic
OM45,metabolic
YFH1,metabolic
PIR1,metabolic
RAG1,metabolic
FIM1_2527,metabolic
PGM2,metabolic
FBP1,metabolic
FIM1_1675,metabolic
MATA1,metabolic
PAN1,metabolic
RRI2,metabolic
YJR096W,metabolic
FIM1_4538,metabolic
FIM1_4164,metabolic
HSP26,metabolic
tRNA-Trp,metabolic
IAH1,metabolic
GLK1,metabolic
PEX21,metabolic
CAF40,metabolic
GPD2,metabolic
BRL1,metabolic
