"","drug target","DEG by microarray","DEG by RNA-seq","DEG by proteome","DEG with DAM","DEG with DAA","Demonstration track","Sum"
"AARS","Y","N","N","N","N","N","N",1
"ABCA1","Y","Y","Y","Y","N","Y","Y",6
"ACTG1","Y","N","Y","Y","N","N","Y",3
"ACTL6B","N","Y","Y","N","Y","N","Y",3
"APMAP","N","N","Y","N","N","N","Y",2
"APOE","Y","N","N","Y","Y","N","N",4
"APOL2","N","N","Y","N","N","N","Y",1
"APP","Y","N","N","Y","Y","N","N",4
"ARID1B","N","N","N","N","N","N","N",1
"ASNA1","N","N","N","N","N","N","N",1
"ATF2","Y","N","N","N","N","N","N",2
"ATF3","Y","N","Y","N","Y","N","Y",4
"ATP2B1","N","Y","Y","Y","Y","N","Y",4
"BACE1","Y","N","N","Y","N","N","N",3
"BCAP31","N","N","N","N","N","N","N",1
"BCL3","N","N","Y","N","N","N","Y",2
"BIN1","N","N","N","N","Y","N","N",2
"BNIP1","N","N","Y","N","N","N","Y",1
"CACNA1I","N","N","Y","N","N","N","Y",1
"CASC4","N","N","N","N","N","N","N",1
"CBL","N","N","Y","N","N","N","Y",2
"CCDC134","N","N","N","N","N","N","N",1
"CDC5L","N","N","N","N","N","N","N",1
"CDCP1","N","N","N","N","N","N","N",0
"CDK5","Y","Y","Y","N","N","N","Y",4
"CFTR","Y","N","N","N","N","N","N",2
"CHD8","N","N","N","N","N","N","N",0
"CHTOP","N","N","N","N","N","N","N",0
"CKAP5","N","N","Y","Y","Y","N","Y",3
"CLASRP","N","N","N","N","N","N","N",1
"CLEC5A","N","N","Y","N","N","N","Y",1
"CLIC3","N","N","N","N","N","N","N",0
"CLU","Y","N","N","Y","N","Y","N",4
"CPLX2","N","Y","Y","Y","Y","Y","Y",5
"CPSF7","N","Y","N","N","N","N","N",1
"CSNK1G1","Y","N","N","N","N","N","N",1
"CSNK2A1","Y","N","N","N","N","N","N",2
"CTGF","N","N","N","N","N","N","N",1
"DAAM2","N","N","N","N","N","Y","N",1
"DAG1","N","N","N","N","N","Y","N",2
"DDRGK1","N","N","N","Y","N","Y","N",2
"DTX2","N","N","Y","N","N","N","Y",1
"EBP","Y","N","N","N","N","N","N",2
"ENO1","Y","N","N","Y","N","Y","N",4
"EPB41L3","N","Y","Y","N","Y","Y","Y",3
"ERLIN2","N","N","N","N","N","N","N",1
"EXD2","N","N","N","N","N","N","N",0
"FAM117B","N","N","N","N","N","N","N",0
"FAM120A","N","N","N","N","N","N","N",0
"FARP1","N","N","N","N","N","Y","N",2
"FBL","N","N","N","N","N","N","N",0
"FBLN1","N","N","N","N","N","N","N",0
"FERMT2","N","N","N","Y","N","N","N",2
"FGFBP2","N","N","N","N","N","N","N",0
"FOXG1","N","N","N","N","N","N","N",0
"FRMD8","N","N","Y","N","N","N","Y",1
"FYN","Y","N","N","N","N","Y","N",3
"GATA2","N","N","Y","N","N","N","Y",1
"GIMAP5","N","N","Y","N","N","N","Y",1
"GJB1","N","N","N","N","N","N","N",0
"GRAMD1C","N","N","N","N","N","Y","N",1
