"gene","avg_log2FC","pct.1","pct.2","pct_diff","p_val","p_val_adj","sig","size_value","source","nudge_x","nudge_y"
"SP5",12.4,0.77,0.01,0.84,1.04781948495656e-09,2.09563896991313e-08,"Up",0.84,"labeled",-0.1,0.25
"GBX2",10,0.57,0.13,0.44,8.58647817978635e-09,1.71729563595727e-07,"Up",0.44,"labeled",-0.18,0.55
"EOMES",7.7,0.435,0.265,0.17,8.1788242305629e-09,1.63576484611258e-07,"Up",0.17,"labeled",-0.22,0.95
"CDX2",6.1,0.365,0.335,0.03,7.19209819100797e-09,1.43841963820159e-07,"Up",0.03,"labeled",-0.2,1.25
"DLX5",6.5,0.44,0.26,0.18,4.57378300838172e-09,9.14756601676345e-08,"Up",0.18,"labeled",0.2,0.85
"MIXL1",5.9,0.38,0.32,0.06,8.37656832300126e-09,1.67531366460025e-07,"Up",0.06,"labeled",-0.1,-0.35
"WNT8A",6.6,0.495,0.205,0.29,8.91571563668549e-09,1.7831431273371e-07,"Up",0.29,"labeled",0.2,0.05
"WLS",5.7,0.64,0.0599999999999999,0.58,3.93638866953552e-10,7.87277733907104e-09,"Up",0.58,"labeled",0.16,0.55
"SEMA3C",5.6,0.51,0.19,0.32,8.34433728829026e-09,1.66886745765805e-07,"Up",0.32,"labeled",0.22,-0.35
"PLA2G2A",5.3,0.56,0.14,0.42,9.66664728242904e-09,1.93332945648581e-07,"Up",0.42,"labeled",0.18,-0.85
"MSX1",4.7,0.405,0.295,0.11,5.67957089049742e-09,1.13591417809948e-07,"Up",0.11,"labeled",-0.22,0.35
"MEIS2",4.7,0.61,0.09,0.52,2.15491848066449e-09,4.30983696132898e-08,"Up",0.52,"labeled",0.18,0.15
"NODAL",4.2,0.405,0.295,0.11,6.23242696747184e-11,1.24648539349437e-09,"Up",0.11,"labeled",-0.22,-0.35
"TFAP2A",3.7,0.56,0.14,0.42,4.87354022683576e-09,9.74708045367152e-08,"Up",0.42,"labeled",0.2,-0.95
"TBXT",3.8,0.385,0.315,0.07,5.77792902477086e-10,1.15558580495417e-08,"Up",0.07,"labeled",-0.18,-1.1
"ROR2",3.2,0.615,0.085,0.53,2.45314813219011e-11,4.90629626438022e-10,"Up",0.53,"labeled",0.18,-0.55
"PRTG",3.3,0.575,0.125,0.45,6.0770446434617e-10,1.21540892869234e-08,"Up",0.45,"labeled",0.2,-1.15
"OTX2",-2.3,0.075,0.625,-0.55,1.82385928928852e-10,3.64771857857704e-09,"Down",0.55,"labeled",-0.18,0.75
"PCDH7",-2.8,0.045,0.655,-0.61,4.39722622046247e-09,8.79445244092494e-08,"Down",0.61,"labeled",-0.12,0.3
"SFRP1",-2.5,0.15,0.55,-0.4,5.02274124184623e-09,1.00454824836925e-07,"Down",0.4,"labeled",0.18,0.7
"BMP2",-2.5,0.27,0.43,-0.16,8.87026259209961e-09,1.77405251841992e-07,"Down",0.16,"labeled",0.22,0.3
