"","Healthy-ACS","DM-ACS","Microbiome r2","Diet r2","Traditional Risk Factors r2","Genetics r2","SUPER_PATHWAY"
"salicyluric glucuronide*",11.66778,-0.75154,0,0.002494,0.073184,0,"Xenobiotics"
"2-hydroxyhippurate (salicylurate)",10.60702,-1.0506,0.005118,0.017169,0.027414,0,"Xenobiotics"
"salicylate",9.791267,-0.51222,0,0.012121,0.001731,0,"Xenobiotics"
"theobromine",5.23371,-0.47696,0.072204,0.114427,0.006118,0,"Xenobiotics"
"tartarate",-4.57866,-1.67926,0,0.057539,0.027218,0,"Xenobiotics"
"sulfate of piperine metabolite C16H19NO3 (3)*",-4.58452,0.193946,0,0,0,0,"Xenobiotics"
"catechol sulfate",-4.72862,0.569258,0.059813,0.192429,0.010958,0,"Xenobiotics"
"ergothioneine",-4.92334,-0.07995,0.081517,0.127489,0,0,"Xenobiotics"
"benzoylcarnitine*",-4.96821,0.654653,0.037815,0.048562,0.057398,0,"Xenobiotics"
"N-acetylalliin",-5.15295,0.206029,0.001689,0,0.018554,0,"Xenobiotics"
"alliin",-5.25477,0.564841,0,0.019451,0.02773,0.08058,"Xenobiotics"
"ethyl alpha-glucopyranoside*",-5.25854,-1.95293,0.000583,0.041189,0,0,"Xenobiotics"
"3-methoxycatechol sulfate (1)",-5.40584,0.554948,0.021955,0.044704,0.004016,0,"Xenobiotics"
"3-hydroxyhippurate",-5.5839,0.979808,0.056008,0.075136,0,0,"Xenobiotics"
"3-methyl catechol sulfate (1)",-5.59881,0.477384,0.239681,0.3,0.025578,0,"Xenobiotics"
"hippurate",-5.82585,0.573584,0.153352,0.140964,0.049468,0,"Xenobiotics"
"O-methylcatechol sulfate",-5.96775,1.073193,0.097602,0.126607,0.043815,0,"Xenobiotics"
"3-hydroxypyridine glucuronide",-6.07823,0.241655,0.238684,0.29012,0.088825,0,"Xenobiotics"
"3-methyl catechol sulfate (2)",-6.31483,0.306402,0.067665,0.15089,0,0,"Xenobiotics"
"carotene diol (3)",-6.65748,-0.54231,0.013476,0.106296,0.069322,0,"Xenobiotics"
"4-allylcatechol sulfate",-7.02031,0.325946,0.017069,0.07031,0.000314,0,"Xenobiotics"
"perfluorooctanoate (PFOA)",-7.3478,-1.17341,0.005265,0,0.080948,0,"Xenobiotics"
"hydroquinone sulfate",-7.81916,0.942444,0,0.040792,0,0,"Xenobiotics"
"maltol sulfate",-7.82756,-0.22105,0,0.037816,0.006213,0,"Xenobiotics"
"3-(3-hydroxyphenyl)propionate",-8.24641,0.774884,0.074138,0.058191,0,0,"Xenobiotics"
"dihydroferulic acid",-8.30443,0.342549,0.002319,0.10054,0.006525,0,"Xenobiotics"
"2,3-dihydroxyisovalerate",-8.31614,0.085313,0.013136,0,0.005265,0,"Xenobiotics"
"umbelliferone sulfate",-8.38584,0.000157,0,0,0,0,"Xenobiotics"
"1,2,3-benzenetriol sulfate (2)",-8.77992,1.056002,0.032694,0.041391,0,0,"Xenobiotics"
"4-vinylcatechol sulfate",-9.49218,0.486135,0.130676,0.274689,0.047356,0,"Xenobiotics"
"eugenol sulfate",-9.87453,0.871499,0,0.032117,0,0,"Xenobiotics"
"3-(3-hydroxyphenyl)propionate sulfate",-9.87684,0.410333,0.011868,0.076402,0.041126,0,"Xenobiotics"
"vanillic acid glycine",-9.8925,0.250687,0,0.058439,0.004133,0,"Xenobiotics"
"N-(2-furoyl)glycine",-10.6463,0.423655,0.142918,0.172056,0.020625,0,"Xenobiotics"
"caffeic acid sulfate",-10.8059,2.151606,0.078792,0.131198,0.018486,0,"Xenobiotics"
"4-vinylguaiacol sulfate",-11.0097,0.208439,0.06026,0.118498,0.036953,0,"Xenobiotics"
"3-hydroxy-2-methylpyridine sulfate",-11.4723,0.06876,0.177122,0.235549,0.04287,0,"Xenobiotics"
"ferulic acid 4-sulfate",-11.7726,1.157054,0,0.132541,0.003979,0,"Xenobiotics"
"X - 12100",7.339815,-0.64239,0,0,0.079488,0,"Unknowns"
"X - 11795",7.201589,-0.46807,0.030434,0.253039,0,0,"Unknowns"
"X - 18779",6.538886,0.270508,0,0,0,0,"Unknowns"
"X - 21796",6.393697,0.624828,0,0,0.083026,0,"Unknowns"
"X - 21410",5.001621,0.877807,0.015237,0.066709,0.021293,0,"Unknowns"
"X - 23593",-4.56235,0.002649,0,0.030289,0,0,"Unknowns"
"X - 12740",-4.72671,0.13696,0,0.004624,0,0,"Unknowns"
"X - 14056",-4.90798,-0.93745,0,0,0,0,"Unknowns"
"X - 15503",-5.04031,0.667986,0.020555,0.089746,0.243508,0,"Unknowns"
"X - 13729",-5.13062,1.05329,0.166594,0.062826,0.02443,0,"Unknowns"
"X - 12906",-5.19963,-0.5529,0.007546,0.026435,0.014851,0,"Unknowns"
"X - 12543",-5.56356,1.081574,0.018924,0.039715,0.009209,0,"Unknowns"
"X - 24736",-5.72438,-0.65046,0.075069,0.079947,0.042326,0,"Unknowns"
"X - 17351",-5.82127,0.003898,0.148422,0.085533,0,0,"Unknowns"
"X - 18913",-5.93128,-0.81895,0,0.034052,0.031959,0,"Unknowns"
"X - 24432",-6.0647,-1.4795,0,0,0,0,"Unknowns"
"X - 16087",-6.21002,1.129955,0.052657,0.092122,0.150375,0,"Unknowns"
"X - 17690",-6.52768,-0.04752,0.00541,0,0.002215,0,"Unknowns"
"X - 21834",-6.60095,-0.64646,0,0,0,0,"Unknowns"
"X - 12812",-7.11728,-0.66177,0.024727,0.053196,0.001162,0,"Unknowns"
"X - 12847",-7.15214,0.035206,0,0,0,0,"Unknowns"
"X - 24588",-7.21869,1.628335,0,0.018051,0.120741,0,"Unknowns"
"X - 12738",-7.24125,0.058284,0.105795,0.151881,0.006562,0,"Unknowns"
"X - 17676",-7.32699,-0.01109,0.096269,0.125418,0.055271,0,"Unknowns"
"X - 24556",-7.37018,-0.05576,0.021643,0.045093,0.002005,0,"Unknowns"
"X - 12753",-7.69072,0.012255,0,0.012936,0,0,"Unknowns"
"X - 13844",-7.82853,-0.09366,0.067061,0.3,0.110966,0,"Unknowns"
"X - 17367",-8.06957,0.774895,0.028701,0.133294,0.021858,0,"Unknowns"
"X - 12726",-8.44697,0.982724,0.007638,0.066211,0.003077,0,"Unknowns"
"X - 24475",-8.57324,-4.30874,0.021466,0.180259,0.033394,0,"Unknowns"
"X - 24473",-9.01245,-0.37453,0.063602,0.119001,0,0.060885,"Unknowns"
"X - 17685",-9.4853,0.64937,0.018604,0.049121,0.000522,0,"Unknowns"
"X - 21342",-10.0974,0.208443,0,0,0,0,"Unknowns"
"X - 12730",-10.259,0.295565,0.132269,0.1319,0.023291,0,"Unknowns"
"HWESASXX*",10.59831,-0.25034,0,0,0.040351,0,"Peptide"
"phenylalanylglycine",9.241712,-0.41808,0,0.00968,0,0,"Peptide"
"histidylalanine",6.779485,0.438218,0,0,0.009122,0,"Peptide"
"ADSGEGDFXAEGGGVR*",5.626652,1.773489,0.008649,0.025357,0.035741,0,"Peptide"
"gamma-glutamyltryptophan",4.648587,0.117022,0,0,0.06095,0,"Peptide"
"bradykinin, des-arg(9)",4.616171,0.351212,0,0,0,0,"Peptide"
"threonylphenylalanine",-4.82743,-0.59543,0,0,0,0,"Peptide"
"N-acetylcarnosine",-4.94077,-0.29557,0.082522,0.131812,0.3,0,"Peptide"
