"Class","Log2FC","Pvalue"
"TG",-0.599207097780891,0.00916241324912088
"Sphingolipid",-0.782604096457362,0.00517400910088183
"PUFA",-1.2774519053055,0.0099718469080787
"PS",-0.673434296855703,0.00238311260573449
"PHA",-1.55830741068348,0.00971738485009969
"PG",-1.72043704695534,0.00890216569536532
"PE",-1.37104880425613,0.00944264071617329
"PC",-1.67339820624329,0.00682878885657102
"HBMP",-0.87285882292781,0.00667088118113362
"DAG",-0.977263444918208,0.00630461092376874
"BMP",-0.513715998968109,0.00963046610987223
"Acyl-AA",-0.654112092335708,0.00275471678662244
"ACAR",-1.72296739649028,0.00997455799935215
"TG",-0.584829237894155,0.00355450874501882
"Sphingolipid",-0.597978519974276,0.00831286271945729
"PUFA",-0.743350375443697,0.000288763414017216
"PS",-1.29194590693805,0.00986530534655547
"PHA",-1.81166668515652,0.008212962019089
"PG",-1.17869401955977,0.00699604661015199
"PE",-1.3005368366139,0.00348236620730068
"PC",-1.59028393228073,0.00500689498038129
"HBMP",-0.990057859569788,0.00921394679604009
"DAG",-0.866178234457038,0.00831809348513854
"BMP",-0.542562933755107,0.00100073997666271
"Acyl-AA",-0.675561388838105,0.00636472923061454
"ACAR",-0.999794098432176,0.00382444996475521
"TG",-0.632061373675242,0.00966511929833868
"Sphingolipid",-0.617618064046837,0.00225179191639964
"PUFA",-1.48100918636192,0.00740683871031601
"PS",-1.91736415983178,0.00193251706185053
"PHA",-1.97944608493708,0.00841489919646711
"PG",-0.994336129282601,0.00924313824872946
"PE",-1.50284142058808,0.00545786602849522
"PC",-1.6632943849545,0.00292523902512561
"HBMP",-0.807305575930513,0.000909755428401332
"DAG",-1.03991050203331,0.00809621408505049
"BMP",-1.10329256753903,0.00485214579382156
"Acyl-AA",-0.654883279814385,0.00147243650528671
"ACAR",-1.44184990809299,0.0010169355063715
"TG",-1.00701337924693,0.00803668183563178
"Sphingolipid",-0.822681075078435,0.000190409953219483
"PUFA",-1.32742761645932,0.00451497856481262
"PS",-1.38682581786998,0.00712935394592193
"PHA",-1.71055347693618,0.003920940810206
"PG",-0.538374043768272,0.00385643197839384
"PE",-1.56190139369573,0.000668125017578234
"PC",-1.87578281783499,0.00294762432569479
"HBMP",-1.43960380530916,0.00336792830483977
"DAG",-1.73870847409125,0.00686258765987513
"BMP",-1.10227464477066,0.00560991205165699
"Acyl-AA",-0.702238191268407,0.00172421819163667
"ACAR",-0.771689759101719,0.00293812259346313
"TG",-0.636340803932399,0.00204002570078324
"Sphingolipid",-1.84524776565377,0.00252260815938598
"PUFA",-1.176251323428,0.00425775629067179
"PS",-1.80018024973106,0.00058866177951691
"PHA",-1.14685374090914,0.00168222375787158
"PG",-1.20502667257097,0.00347504161636133
"PE",-0.825748508679681,0.00816160816136764
"PC",-0.582408852293156,0.00324262469372129
"HBMP",-1.14018148370087,0.00192352818749309
"DAG",-1.98268327408005,0.0036970764819713
"BMP",-1.42069427401293,0.00341806997060834
"Acyl-AA",-1.02709131187294,0.00316557489653622
"ACAR",-0.691459973575547,0.0039711457383255
"TG",-1.29382264788728,0.00615394243241939
"Sphingolipid",-0.775111475493759,0.000570284954821279
"PUFA",-1.10527790826745,0.00821961860328157
"PS",-1.87636000197381,0.0074306583812575
"PHA",-1.25193945225328,0.00241003465808125
"PG",-1.03736688534264,0.00827850911155214
"PE",-1.02420517569408,0.00743958201653382
"PC",-1.25652920780703,0.00415414341441075
"HBMP",-0.604393462184817,0.00892185882911684
"DAG",-1.54729073413182,0.00618729749588504
"BMP",-1.89080449135508,0.00622572200615349
"Acyl-AA",-1.74992493505124,0.000517870568548453
"ACAR",-1.25773153803311,0.00496189496678253
"TG",-1.97420395258814,0.00160005533311602
"Sphingolipid",-1.37977428373415,0.00110232057172814
"PUFA",-1.02053872449324,0.00224216612979678
"PS",-0.665962461614981,0.00547336556989846
"PHA",-1.8047827007249,0.00594781289436587
"PG",-1.25575380702503,0.00957089579268135
"PE",-1.21532164560631,0.00856194293275807
"PC",-1.14063229248859,0.00828853045839655
"HBMP",-0.56837891752366,0.000502452191826427
"DAG",-0.680089485016651,0.00164807460999169
"BMP",-1.10786687768996,0.00676438923851966
"Acyl-AA",-0.595011308789253,0.00705123198332145
"ACAR",-0.737353768432513,0.00692473225486176
"TG",1.66540508531034,0.00230795566856672
"Sphingolipid",0.8679802659899,0.00536428822908792
"PUFA",0.773928512260318,0.00760391336426233
"PS",0.886599243059754,0.00330683439899145
"PHA",0.609691914916038,0.00510180021813812
"PG",1.03941333927214,0.00165473415345879
"PE",0.571213381737471,0.00366034841132897
"PC",0.703461931273341,0.0061239842179645
"HBMP",0.690018060803413,0.00200688929534131
"DAG",0.904646794078872,0.00949104364867161
"BMP",3.65453006583266,0.00429585038897594
"Acyl-AA",1.20098644017708,0.00632140140502631
"ACAR",3.19078282243572,0.00548748449681464
"TG",0.911919743567705,0.00700242805166318
"Sphingolipid",1.93647586032748,0.00232724682061396
"PUFA",0.73922694735229,0.00569444283895327
"PS",1.3491582442075,0.00432902903916761
"PHA",1.00397411957383,0.00828099949589426
"PG",1.50491422750056,0.0049381050236279
"PE",0.615478710085154,0.00972490773338672
"PC",1.22751499228179,0.00516368798022688
"HBMP",1.05655598863959,0.00392297266765026
"DAG",1.82012060517445,0.00923992667684642
"BMP",3.05508977582213,0.0042478026229712
"Acyl-AA",1.19902463571634,0.00427247071861651
"ACAR",1.81005952961277,0.00524514844220885
"TG",2.02552165202796,0.0089782100959119
"Sphingolipid",0.905004244297743,0.00516842383227367
"PUFA",0.635724890604615,0.000275733961129184
"PS",1.45042740367353,0.00254019938866415
"PHA",1.65556844100356,0.00423174742247931
"PG",1.81258299574256,0.00117214618608852
"PE",1.47018398493528,0.00876311149271228
"PC",1.07476131021976,0.0036789931330236
"HBMP",2.07348316609859,0.00843873032964973
"DAG",3.59016429621261,0.000159543302022377
"BMP",1.275863793795,0.0074908112634193
"Acyl-AA",0.819961594883353,0.00759623467319268
"ACAR",1.97707013017498,0.00646929318417922
"TG",1.99331714734435,0.00849871883586979
"Sphingolipid",0.501787262037396,0.00742737719773824
"PUFA",1.91223457045853,0.00227051104836526
"PS",0.622762382030487,0.00999803168197485
"PHA",1.17844299301505,0.00040411646804939
"PG",1.61748583167791,0.00837319984497979
"PE",0.503457907959819,0.00870973540741246
"PC",1.56956181935966,0.0098666830506624
"HBMP",1.91477807126939,0.00422135440612181
"DAG",3.87312779552303,0.000404696453259359
"BMP",2.57862982689403,0.00724718466244258
"Acyl-AA",3.7376338657923,0.00796559874613201
"ACAR",1.64630141376983,0.000406596009479277
"TG",1.2436639983207,0.00719949165082159
"Sphingolipid",2.05550759062171,0.00635634092367539
"PUFA",2.09841890595853,0.00739437928913788
"PS",0.722764909267426,0.00269297758430561
"PHA",1.55914736762643,0.00489122495335613
"PG",0.734553994610906,0.00455171675659291
"PE",1.06240395382047,0.00557615198202002
"PC",1.07264471463859,0.00957811673916332
"HBMP",1.47078064009547,0.00643275325913527
"DAG",3.6590277972864,0.00174059095185418
"BMP",1.02285349159501,0.00320780835167276
"Acyl-AA",1.39670495607425,0.00321718010167097
"ACAR",2.50828308868222,0.00497536226191473
"TG",1.22753420583904,0.000336751908384271
"Sphingolipid",1.47857200093567,0.00444546970458464
"PUFA",2.07570663653314,0.00559048262861367
"PS",1.93533726632595,0.00449956768522983
"PHA",1.63526725508273,0.0028900808973472
"PG",0.505822659656405,0.00129943737030712
"PE",1.36859820373356,0.00421610549829494
"PC",0.729570826888084,0.000445207100725747
"HBMP",1.4444227963686,0.00272634676195076
"DAG",1.29752764350269,0.00486394648887308
"BMP",1.07591441308614,0.00282599302757442
"Acyl-AA",3.47398441890255,0.00692412983877001
"ACAR",1.18392835010309,0.00220317661229869
"TG",1.14353908151388,0.0088280900715198
"Sphingolipid",1.75130583718419,0.00256926834927437
"PUFA",0.864215237274766,0.00347983798103189
"PS",0.727011725306511,0.00782227896462427
"PHA",1.96330342702568,0.00970084246594299
"PG",1.89203988090158,0.000340639612795424
"PE",1.85242763347924,0.00260893923332822
"PC",1.0543170709163,0.00297227386009975
"HBMP",0.837062460184097,0.00554487478561612
"DAG",1.52992117032409,0.00211735905514074
"BMP",2.707161926548,0.00225025383637743
"Acyl-AA",3.91073085379321,0.00278353697492361
"ACAR",1.61936331563629,0.00476284887488356
"TG",1.96891548074782,0.0092129406054499
"Sphingolipid",1.29099988341331,0.0082181125653805
"PUFA",1.38137371391058,0.00491051202155796
"PS",1.98043574988842,0.00526832565255624
"PHA",1.9317243590951,0.00980578844298914
"PG",0.854876483231783,0.00705444660062626
"PE",2.09866954535246,0.00675332913276719
"PC",1.75060351602733,0.00289737280355348
"HBMP",0.981944613158703,0.00608583896681909
"DAG",1.59157521626912,0.004591898638206
"BMP",3.82192150189076,0.00392121432773112
"Acyl-AA",3.47950144368224,0.00768704108756334
"ACAR",2.88938353373669,0.00230547310034149
