id,term
C3,"positive regulation of canonical
Wnt signaling pathway"
C3,osteoblast differentiation
C3,"regulation of epithelial
cell proliferation"
C3,"regulation of transmembrane receptor
protein serine/threonine kinase
signaling pathway"
C3,"positive regulation of Wnt
signaling pathway"
C1,extracellular matrix organization
C1,"homophilic cell adhesion via
plasma membrane adhesion molecules"
C1,"external encapsulating
structure organization"
C1,extracellular structure organization
C1,"cell-cell adhesion via
plasma-membrane adhesion molecules"
C4,"regulation of leukocyte
mediated cytotoxicity"
C4,regulation of cell killing
C4,"antigen processing and presentation
of peptide antigen via MHC class Ib"
C4,cell killing
C4,"positive regulation of leukocyte
mediated cytotoxicity"
C2,response to virus
C2,defense response to virus
C2,response to interferon-beta
C2,cellular response to interferon-beta
C2,activation of innate immune response
