id,term
C3,Axon guidance
C3,Calcium signaling pathway
C3,Breast cancer
C3,Wnt signaling pathway
C3,Apelin signaling pathway
C1,Protein digestion and absorption
C1,"Hippo signaling pathway -
multiple species"
C1,Cytoskeleton in muscle cells
C1,Cadherin signaling
C4,Antigen processing and presentation
C4,Herpes simplex virus 1 infection
C4,Human cytomegalovirus infection
C4,IL-17 signaling pathway
C4,Epstein-Barr virus infection
C2,Herpes simplex virus 1 infection
C2,Influenza A
C2,Hepatitis C
C2,NOD-like receptor signaling pathway
C2,Epstein-Barr virus infection
