gene,cluster,E214_wt,E218_wt,E262_wt,E263_wt,E266_wt,E9_wt,E95_wt,E214_g12d,E218_g12d,E262_g12d,E263_g12d,E266_g12d,E9_g12d,E95_g12d
Col12a1,C3,1.2916031589253292,1.3288200702692357,1.1734697946080288,0.7533281042744805,0.9331629047549136,0.6904582471070969,0.12974859068175676,-0.9359446970103035,-0.6684898360300232,-1.2295846514045743,-1.2902463944576772,-1.5986428352749746,-0.8968036618091738,-1.3352849046398159
Aspn,C3,1.6865652263046513,1.5024454904088753,1.094702386819391,1.0200637284619545,0.4907027956201502,0.2809815044074561,0.22534000747558275,-0.6252176811559007,-0.8909525023791718,-1.0004429619980213,-1.2899231056587264,-1.362270918760189,-1.4227400671233124,-1.0299257812249416
Fbn2,C3,1.400400587298045,1.543707200256274,1.3590412137847647,1.193743675660709,0.4507709248824588,0.6564510372341071,-0.31663265223332604,-0.773705744010587,-0.9154881751695214,-0.9673027383288686,-1.1127808776570685,-0.9239647145555646,-1.2330552010468736,-1.0633501150505804
C3_g01,C3,1.4692186247939278,1.2792677232443785,1.2992304899507447,1.369525346293601,0.43114291000522265,0.4928720620193806,0.33292947813398976,-0.8775918735650307,-0.8996967463408274,-1.0695112505203705,-1.3024369687429513,-1.1325292108811171,-1.5924772855388039,-1.3903507516451814
C3_g02,C3,1.4466361022974745,1.6101511623741263,1.0631685960551813,1.1574987559306393,0.6380530753734691,0.36996463473865226,-0.07589993233126811,-0.6773215196432592,-1.4339883663231299,-0.9710473568015032,-1.5873525127238293,-1.7634566392505544,-0.8653156736731229,-1.1135774487876855
C3_g03,C3,1.383397345239333,1.0177392939134497,1.0766867106081328,0.4832599794436492,0.9706612877259294,0.227545707424551,0.09821486064161326,-0.9058983923014462,-0.8735637615883889,-0.7205184915884117,-1.2801675518640698,-1.8877247719337564,-1.2535298919273434,-1.504237091912419
C3_g04,C3,1.1126843535875914,1.3121772876162425,1.429657213497109,0.9212990801878785,0.08577519998950411,0.19544059026684557,-0.06595492913298491,-0.8607990296825883,-0.9493215651173524,-1.6808637052565683,-0.8452388492285454,-0.7875740247685818,-1.4649559646051342,-0.7851686479238962
C3_g05,C3,1.554807390003387,1.1251886054700526,1.0721956500685457,1.0062263087488992,0.24123501402710185,0.1377894735041883,0.0761613602600168,-0.6522808114679262,-0.9401021926207498,-1.265394894031469,-0.7197761568497542,-1.045314218363099,-1.17901737271932,-0.9307359586480428
C3_g06,C3,2.175269823524707,1.4601681608496302,1.424754060097327,1.0983564260872352,0.34623706233023377,0.41673679184130774,0.0011942012373003241,-0.0923463781479551,-1.1404407891061858,-1.14120989177177,-0.8747270787709376,-0.7020730338965399,-1.2729160892703646,-1.0304879748873854
C3_g07,C3,1.4103313100621593,1.2170466107317064,1.7319008842429438,0.9424698521367095,0.8722610443337796,0.5117450427795764,0.16894415743915553,-0.8773232583350109,-1.2318577549664615,-0.9434294813116129,-1.4676804181476628,-0.9944931319644683,-1.4307411776328933,-1.4268992180137958
