"Serum metabolite","Super pathway","Pollutant","Outcome"
"linoleate (18:2n6)","Lipid","TPHP","FPG"
"orotate","Nucleotide","TMPP","FPG"
"1-oleoyl-GPC (18:1)","Lipid","TMPP","FPG"
"myristate (14:0)","Lipid","TPHP","FPG"
"2-palmitoyl-GPC* (16:0)*","Lipid","TMPP","GSP"
"cytidine","Nucleotide","TPHP","FPG"
"2-linoleoylglycerol (18:2)","Lipid","TPHP","FPG"
"xanthine","Nucleotide","TMPP","GSP"
"suberate (C8-DC)","Lipid","TPHP","FPG"
"hypotaurine","Amino Acid","TMPP","FPG"
"N-acetylaspartate (NAA)","Amino Acid","TMPP","FPG"
"N-acetylaspartate (NAA)","Amino Acid","TMPP","GSP"
"sebacate (C10-DC)","Lipid","TMPP","FPG"
"N-acetylaspartate (NAA)","Amino Acid","TPHP","FPG"
"gamma-glutamylserine","Peptide","TMPP","FPG"
"S-1-pyrroline-5-carboxylate","Amino Acid","TMPP","GSP"
"Fibrinopeptide A (3-16)","Peptide","TMPP","FPG"
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)","Lipid","TPHP","HOMA-IR"
"1-arachidonylglycerol (20:4)","Lipid","TPHP","FPG"
"tyramine O-sulfate","Amino Acid","DPHP","GSP"
"palmitoleate (16:1n7)","Lipid","TPHP","FPG"
"malate","Energy","TMPP","FPG"
"Fibrinopeptide A (7-16)*","Peptide","TMPP","FPG"
"Fibrinopeptide A (8-16)","Peptide","TMPP","FPG"
"stearidonate (18:4n3)","Lipid","TMPP","FPG"
"adenine","Nucleotide","TPHP","FPG"
"choline","Lipid","TMPP","FPG"
"Fibrinopeptide A (5-16)*","Peptide","TMPP","GSP"
"glycine","Amino Acid","TMPP","FPG"
"1-stearoyl-GPE (18:0)","Lipid","TMPP","FPG"
"arachidonate (20:4n6)","Lipid","TPHP","FPG"
"xanthine","Nucleotide","TPHP","FPG"
"oleoyl-linoleoyl-glycerol (18:1/18:2) [2]","Lipid","TPHP","FPG"
"Fibrinopeptide A (5-16)*","Peptide","TPHP","FPG"
"1-palmitoleoylglycerol (16:1)*","Lipid","TMPP","GSP"
"inosine","Nucleotide","TMPP","GSP"
"3-hydroxyoleate*","Lipid","DPHP","GSP"
"gamma-glutamylserine","Peptide","TPHP","HOMA-IR"
"linoleoyl ethanolamide","Lipid","TMPP","FPG"
"malate","Energy","TMPP","GSP"
"1-stearoyl-GPG (18:0)","Lipid","TMPP","GSP"
"Fibrinopeptide A (2-15)","Peptide","TPHP","FPG"
"palmitate (16:0)","Lipid","TMPP","GSP"
"oleoylcholine","Lipid","TMPP","FPG"
"ADSGEGDFXAEGGGVR*","Peptide","TPHP","GSP"
"glutamate","Amino Acid","TMPP","FPG"
"S-1-pyrroline-5-carboxylate","Amino Acid","TPHP","FPG"
"pentadecanoate (15:0)","Lipid","TPHP","FPG"
"10-nonadecenoate (19:1n9)","Lipid","TMPP","FPG"
"1-palmitoleoyl-GPC* (16:1)*","Lipid","TMPP","FPG"
"2-aminophenol sulfate","Xenobiotics","TMPP","FPG"
"sphingadienine","Lipid","TMPP","FPG"
"ADSGEGDFXAEGGGVR*","Peptide","TPHP","FPG"
"1-oleoylglycerol (18:1)","Lipid","TPHP","FPG"
"carotene diol (3)","Cofactors and Vitamins","DPHP","GSP"
"N-carbamoylaspartate","Nucleotide","TMPP","FPG"
"1-arachidonoyl-GPA (20:4)","Lipid","TMPP","FPG"
"Fibrinopeptide B (1-13)","Peptide","TPHP","FPG"
"glu-gly-asn-val","Peptide","DPHP","GSP"
"12-HETE","Lipid","DBP","FPG"
"sphingosine","Lipid","TMPP","FPG"
