"","Group","Values"
"1","WT",8.54712394285458
"2","WT",9.17529581866363
"3","WT",9.01156060846684
"4","WT",9.59660299054139
"5","WT",8.84957864528189
"6","WT",8.64757275902571
"7","WT",7.6047461590352
"8","WT",7.73221545720722
"9","WT",8.66949092054123
"10","WT",7.82823106771874
"11","WT",10.1022620343664
"12","WT",8.85379530397971
"13","WT",8.22866928503914
"14","WT",8.41888406758414
"15","WT",9.28728260197825
"16","WT",9.84225533639619
"17","WT",7.41947439016846
"18","WT",7.78304705457172
"19","WT",9.00673937403445
"20","WT",8.98314357144945
"21","WT",9.28925524565701
"22","WT",10.5878042506452
"23","WT",9.13994969056453
"24","WT",7.11486454669659
"25","WT",9.39580208238953
"26","WT",9.16377948274091
"27","WT",9.37391660761911
"28","WT",8.31932740493056
"29","WT",8.66799563095355
"30","WT",10.1977957519784
"31","WT",10.276148375034
"32","WT",7.99762993848431
"33","WT",9.16826490792702
"34","WT",9.97918389827065
"35","WT",9.20830218675174
"36","WT",9.05212843692365
"37","WT",7.81113875317565
"38","WT",9.91005235910977
"39","WT",10.0213916846536
"40","WT",8.90167847106868
"41","WT",9.00071836690989
"42","WT",9.45717453423424
"43","WT",9.03204234228245
"44","WT",6.25607282082521
"45","WT",10.284726118268
"46","WT",8.84565526046122
"47","WT",8.26239968945525
"48","WT",8.28248960653569
"49","WT",9.86913446981735
"50","WT",8.59598558353866
"51","WT",8.73686831430324
"52","WT",9.34737058090543
"53","WT",7.53955287073766
"54","WT",9.36021386308286
"55","WT",7.87605052772653
"56","WT",7.13012447916052
"57","WT",9.87386503340481
"58","WT",8.85410217811306
"59","WT",9.62906827006638
"60","WT",9.04878462341359
"61","WT",8.32652756855075
"62","WT",10.5039739916623
"63","WT",7.82171239720121
"64","WT",8.58455337615026
"65","WT",9.25238829020448
"66","WT",8.03541853723476
"67","WT",6.34220579889604
"68","WT",7.61854682686641
"69","WT",9.27697551841378
"70","WT",8.79681509490265
"71","WT",9.78709199740386
"72","WT",11.4506250558538
"73","WT",9.5830471469702
"74","WT",10.6338770756408
"75","WT",9.97242138309441
"76","WT",9.09148951035797
"77","WT",9.44834120557921
"78","WT",10.9099519737277
"79","WT",9.04116709971049
"80","WT",10.0401939044083
"81","WT",10.5741987139329
"82","WT",10.7824548720696
"83","WT",10.0132671968859
"84","WT",9.60339771417824
"85","WT",8.49081104199025
"86","WT",9.12243104943893
"87","WT",7.30744810002395
"88","WT",9.51649623871799
"89","WT",10.289447692646
"90","WT",9.13818766655895
"91","WT",9.99403518857258
"92","WT",10.0394052776996
"93","WT",9.7732719675968
"94","WT",8.34474628617568
"95","WT",7.93659686009781
"96","WT",8.87426755127099
"97","WT",9.14788317628635
"98","WT",7.77518394468445
"99","WT",9.59383835613778
"100","WT",7.46962764322797
"101","WT",9.56766445934952
"102","WT",10.3010727298652
"103","WT",8.50512885643834
"104","WT",9.55087008055697
"105","WT",7.43847620668204
"106","WT",10.521742842227
"107","WT",7.4181139820271
"108","WT",7.67680471703461
"109","WT",7.66633860116396
"110","WT",9.60614721453656
"111","WT",7.53747367960882
"112","WT",9.36957942297256
"113","WT",8.52254151062402
"114","WT",9.10302930637615
"115","WT",9.08104893134101
"116","WT",10.1071526805671
"117","WT",8.8694887206415
"118","WT",9.27097158172304
