gene,module,cell_type,tissue,regulation
GeneUp001,Common up,MGC,Hypothalamus,Unchanged
GeneUp002,Common up,MGC,Hypothalamus,Unchanged
GeneUp003,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp004,Common up,MGC,Hypothalamus,Unchanged
GeneUp005,Common up,MGC,Hypothalamus,Unchanged
GeneUp006,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp007,Common up,MGC,Hypothalamus,Unchanged
GeneUp008,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp009,Common up,MGC,Hypothalamus,Unchanged
GeneUp010,Common up,MGC,Hypothalamus,Unchanged
GeneUp011,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp012,Common up,MGC,Hypothalamus,Unchanged
GeneUp013,Common up,MGC,Hypothalamus,Unchanged
GeneUp014,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp015,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp016,Common up,MGC,Hypothalamus,Unchanged
GeneUp017,Common up,MGC,Hypothalamus,Unchanged
GeneUp018,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp019,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp020,Common up,MGC,Hypothalamus,Unchanged
GeneUp021,Common up,MGC,Hypothalamus,Unchanged
GeneUp022,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp023,Common up,MGC,Hypothalamus,Unchanged
GeneUp024,Common up,MGC,Hypothalamus,Unchanged
GeneUp025,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp026,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp027,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp028,Common up,MGC,Hypothalamus,Unchanged
GeneUp029,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp030,Common up,MGC,Hypothalamus,Unchanged
GeneUp031,Common up,MGC,Hypothalamus,Unchanged
GeneUp032,Common up,MGC,Hypothalamus,Unchanged
GeneUp033,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp034,Common up,MGC,Hypothalamus,Unchanged
GeneUp035,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp036,Common up,MGC,Hypothalamus,Unchanged
GeneUp037,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp038,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp039,Common up,MGC,Hypothalamus,Unchanged
GeneUp040,Common up,MGC,Hypothalamus,Unchanged
GeneUp041,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp042,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp043,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp044,Common up,MGC,Hypothalamus,Unchanged
GeneUp045,Common up,MGC,Hypothalamus,Upregulated in T1DM
GeneUp046,Common up,MGC,Hypothalamus,Unchanged
GeneUp047,Common up,MGC,Hypothalamus,Unchanged
