module,term,neg_log10_p
Common up,oxidative phosphorylation,23.4
Common up,positive regulation of leukocyte activation,4.2
Common up,response to steroid hormone,4
Common up,positive regulation of apoptotic process,2.5
Common up,reproductive system development,2.2
Common down,blood vessel development,18.3
Common down,negative regulation of cell migration,14.8
Common down,regulation of proteolysis,14.1
Common down,response to endoplasmic reticulum stress,14
Common down,regulation of endothelial cell proliferation,5.7
