"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:0006119"	"oxidative phosphorylation"	"46/2271"	"149/18866"	7.57282128867651e-10	4.05938832367513e-06	3.75581425053003e-06	"NDUFAB1/MLXIPL/NDUFB4/NDUFB2/NDUFC1/COX6A1/COX7A2/ATP5PB/NDUFB3/ATP5F1E/NDUFA1/COX6B1/COX7C/UQCR11/COX7B/NDUFA2/COX5B/ISCU/UQCC2/SNCA/NDUFS6/NDUFB11/NDUFB9/NDUFC2/ATP5MC3/ATP5PF/UQCRB/PINK1/UQCRQ/COX6C/NDUFB6/STOML2/ATP5F1C/ATP5MG/ATP5PD/UQCRFS1/CDK1/NDUFA3/UQCRH/NUPR1/COX8A/NDUFB1/UQCR10/NDUFA6/NDUFA4/ATP5MF"	46
"BP"	"GO:0010498"	"proteasomal protein catabolic process"	"104/2271"	"483/18866"	1.71811018999607e-09	4.05938832367513e-06	3.75581425053003e-06	"GCLC/HECW1/CDC27/RNF14/WWTR1/GABARAPL2/PSMA4/USP13/UFD1/UBE2D1/UBE2A/UBE2K/PCNP/NSFL1C/CDC34/RBX1/DESI1/PSMA3/PSMB5/DCAF11/PSME2/PSMA7/GID8/FZR1/GSK3A/SEC61B/UBE2S/UBE2D3/BIRC2/FBXO9/TRIM38/SKP1/SUMO1/CDC20/FBXL5/UBE2B/TRIM25/PSMF1/DNAJB9/APOE/DNAJB2/USP44/PSMB7/CUL4A/ARRB2/PMAIP1/PSMB6/PSMA5/UBXN4/MARCHF6/ALAD/FBXL2/RMND5A/PSMA8/SH3RF2/PINK1/PSMB4/AMFR/ZER1/FBXO27/PSMD6/MAD2L1/PTTG1/NEMF/IFI27/HSP90B1/UBXN6/DDB1/RNF187/CDK1/UBB/SOCS6/PSME3IP1/TRIB1/UBE2C/SPSB4/PSMD2/DDIT3/NUPR1/ZFAND2A/RNF186/RAD23A/SHARPIN/YOD1/SIAH2/FBXL7/ZNRF1/UBE2H/PCBP2/DDI2/PELI1/SVIP/UBE2J1/PSMB8/RNF5/HSPA1B/HSPA1A/BAG6/SIAH3/UBA52/GPX1/PSMB9/TAF9/PSMB3"	104
"BP"	"GO:0042744"	"hydrogen peroxide catabolic process"	"18/2271"	"32/18866"	2.3343503881473e-09	4.05938832367513e-06	3.75581425053003e-06	"MPO/HBQ1/PRDX1/PRDX6/CAT/PRDX5/SNCA/PRDX3/PRDX2/HBA2/HBG2/HBA1/HBM/HBG1/HBD/GPX1/HBB/HP"	18
"BP"	"GO:0006778"	"porphyrin-containing compound metabolic process"	"20/2271"	"39/18866"	2.64886676911917e-09	4.05938832367513e-06	3.75581425053003e-06	"SLC25A39/FECH/CPOX/EIF2AK1/BLVRB/SRRD/BLVRA/AMBP/TMEM14C/UROD/ATP5IF1/CYP1A2/PPOX/SLC25A38/ALAD/ALAS2/SPTA1/UROS/UGT1A4/HMBS"	20
"BP"	"GO:0000209"	"protein polyubiquitination"	"79/2271"	"340/18866"	4.70052412504928e-09	5.76284257731042e-06	5.33187873384537e-06	"HECW1/CDC27/RNF14/PSMA4/UBE2D1/UBE2T/UBE2A/UBE2K/OTUB2/CDC34/FBXO7/RBX1/PSMA3/PSMB5/PSME2/PSMA7/FZR1/UBE2S/WSB1/UBE2D3/BIRC2/FBXO9/TRIM38/SKP1/FBXO30/FBXL5/UBE2B/NMI/PSMF1/ANAPC13/UBE2M/TRIM22/GPS2/MKRN1/DYSF/PSMB7/FBXO15/PSMB6/PSMA5/MARCHF6/RMND5A/C10orf90/PSMA8/UBE2L6/PSMB4/AMFR/FBXO27/TRIM58/PSMD6/FBXO40/DTX3L/RNF183/MARCHF8/IFI27/RNF187/UBE2E3/UBB/FBXW10/UBE2C/SPSB4/PSMD2/UBE2O/RNF186/TRIML2/SHARPIN/SIAH2/FBXL7/UBE2F/UBE2L3/ZNRF1/UBE2H/PELI1/UBE2J1/PSMB8/RNF5/UBA52/PSMB9/NHLRC4/PSMB3"	79
"BP"	"GO:0002283"	"neutrophil activation involved in immune response"	"103/2271"	"490/18866"	7.93525919528953e-09	8.10718981118746e-06	7.50090816565263e-06	"AOC1/MPO/MMP25/PRSS3/LTF/ALOX5/SLC11A1/SERPINB1/SLC2A3/TOLLIP/HSP90AA1/PTPRC/RAB10/CD59/FTL/DYNLL1/CYB5R3/CTSG/ATP6V1D/MMP9/SIRPB1/VAPA/RETN/PDAP1/LAMTOR3/HSPA8/LTA4H/MAPK14/GCA/RAP1A/CD58/PRDX6/ARG1/NPC2/CYSTM1/CAT/LGALS3/CD36/CD63/PSMB7/TLR2/IDH1/ANXA3/SRP14/ITGAX/PSMA5/CREG1/FCGR2A/S100A8/ILF2/AHSG/PLAC8/DOK3/DYNLT1/STOM/ALAD/LCN2/COMMD3/MS4A3/NDUFC2/FCER1G/NBEAL2/HK3/FCGR3B/S100A9/S100A12/MNDA/PSMD6/DNASE1L3/GYG1/S100P/CAMP/APEH/CTSB/DEFA4/CLEC4D/SERPINB12/RNASE2/PA2G4/LRG1/ORMDL3/AZU1/HSPA6/PSMD2/ADGRG3/MCEMP1/METTL7A/ATP6V0C/HMGB1/TUBB/PRTN3/ELANE/SVIP/PNP/HSPA1B/HSPA1A/CSNK2B/LILRB3/CD177/DEFA1/HBB/TARM1/HP"	103
"BP"	"GO:0043161"	"proteasome-mediated ubiquitin-dependent protein catabolic process"	"92/2271"	"424/18866"	1.00761914981418e-08	8.75365051484113e-06	8.0990244653497e-06	"GCLC/HECW1/CDC27/RNF14/WWTR1/PSMA4/UFD1/UBE2D1/UBE2A/UBE2K/PCNP/NSFL1C/CDC34/RBX1/DESI1/PSMA3/PSMB5/DCAF11/PSME2/PSMA7/GID8/FZR1/GSK3A/SEC61B/UBE2S/UBE2D3/BIRC2/FBXO9/TRIM38/SKP1/SUMO1/CDC20/FBXL5/UBE2B/TRIM25/PSMF1/DNAJB9/DNAJB2/USP44/PSMB7/CUL4A/ARRB2/PSMB6/PSMA5/UBXN4/MARCHF6/FBXL2/RMND5A/PSMA8/SH3RF2/PSMB4/AMFR/ZER1/FBXO27/PSMD6/MAD2L1/PTTG1/NEMF/IFI27/HSP90B1/DDB1/RNF187/CDK1/UBB/TRIB1/UBE2C/SPSB4/PSMD2/DDIT3/ZFAND2A/RNF186/RAD23A/SHARPIN/YOD1/SIAH2/FBXL7/ZNRF1/UBE2H/PCBP2/PELI1/SVIP/UBE2J1/PSMB8/RNF5/HSPA1B/HSPA1A/BAG6/SIAH3/UBA52/PSMB9/TAF9/PSMB3"	92
"BP"	"GO:0043312"	"neutrophil degranulation"	"102/2271"	"487/18866"	1.1424013722468e-08	8.75365051484113e-06	8.0990244653497e-06	"AOC1/MPO/MMP25/PRSS3/LTF/ALOX5/SLC11A1/SERPINB1/SLC2A3/TOLLIP/HSP90AA1/PTPRC/RAB10/CD59/FTL/DYNLL1/CYB5R3/CTSG/ATP6V1D/MMP9/SIRPB1/VAPA/RETN/PDAP1/LAMTOR3/HSPA8/LTA4H/MAPK14/GCA/RAP1A/CD58/PRDX6/ARG1/NPC2/CYSTM1/CAT/LGALS3/CD36/CD63/PSMB7/TLR2/IDH1/ANXA3/SRP14/ITGAX/PSMA5/CREG1/FCGR2A/S100A8/ILF2/AHSG/PLAC8/DOK3/DYNLT1/STOM/ALAD/LCN2/COMMD3/MS4A3/NDUFC2/FCER1G/NBEAL2/HK3/FCGR3B/S100A9/S100A12/MNDA/PSMD6/GYG1/S100P/CAMP/APEH/CTSB/DEFA4/CLEC4D/SERPINB12/RNASE2/PA2G4/LRG1/ORMDL3/AZU1/HSPA6/PSMD2/ADGRG3/MCEMP1/METTL7A/ATP6V0C/HMGB1/TUBB/PRTN3/ELANE/SVIP/PNP/HSPA1B/HSPA1A/CSNK2B/LILRB3/CD177/DEFA1/HBB/TARM1/HP"	102
"BP"	"GO:0042775"	"mitochondrial ATP synthesis coupled electron transport"	"33/2271"	"97/18866"	1.29569966311657e-08	8.82515437211621e-06	8.16518103493812e-06	"NDUFAB1/NDUFB4/NDUFB2/NDUFC1/COX6A1/NDUFB3/NDUFA1/COX6B1/COX7C/UQCR11/COX7B/NDUFA2/COX5B/ISCU/SNCA/NDUFS6/NDUFB11/NDUFB9/NDUFC2/UQCRB/PINK1/UQCRQ/COX6C/NDUFB6/UQCRFS1/CDK1/NDUFA3/UQCRH/COX8A/NDUFB1/UQCR10/NDUFA6/NDUFA4"	33
"BP"	"GO:0042773"	"ATP synthesis coupled electron transport"	"33/2271"	"98/18866"	1.72955517609099e-08	1.06021732294378e-05	9.80930872502974e-06	"NDUFAB1/NDUFB4/NDUFB2/NDUFC1/COX6A1/NDUFB3/NDUFA1/COX6B1/COX7C/UQCR11/COX7B/NDUFA2/COX5B/ISCU/SNCA/NDUFS6/NDUFB11/NDUFB9/NDUFC2/UQCRB/PINK1/UQCRQ/COX6C/NDUFB6/UQCRFS1/CDK1/NDUFA3/UQCRH/COX8A/NDUFB1/UQCR10/NDUFA6/NDUFA4"	33
