"","high","low","mean","x","group1","group2","Trend","Signif"
"1",1.96,-0.03,0.97,"sample1","FPG","Blood OPEs","Not Significant",""
"2",5.09,2.75,3.92,"sample2","FPG","Blood OPEs","Positive","*"
"3",4.36,2,3.18,"sample3","FPG","Blood OPEs","Not Significant",""
"4",3.01,0.72,1.87,"sample4","FPG","Blood OPEs","Positive","*"
"5",-1.28,-3.54,-2.41,"sample5","FPG","Blood OPEs","Negative","*"
"6",7.06,4.87,5.96,"sample6","FPG","Blood OPEs","Not Significant",""
"7",4.41,1.82,3.11,"sample7","FPG","Blood OPEs","Not Significant",""
"8",6.75,3.84,5.29,"sample8","FPG","Blood OPEs","Not Significant",""
"9",-0.69,-2.86,-1.77,"sample9","FPG","Blood OPEs","Not Significant",""
"10",0.05,-2.03,-0.99,"sample10","FPG","Blood OPEs","Not Significant",""
"11",-1.69,-3.74,-2.71,"sample11","FPG","Blood OPEs","Not Significant",""
"12",1.5,-0.86,0.32,"sample12","FPG","Blood OPEs","Positive","*"
"13",6.09,4.47,5.28,"sample13","FPG","Blood OPEs","Not Significant",""
"14",0.24,-2.36,-1.06,"sample14","FPG","Blood OPEs","Negative","*"
"15",2.42,0.77,1.59,"sample15","FPG","Blood OPEs","Not Significant",""
"16",2.21,0.65,1.43,"sample16","FPG","Blood OPEs","Positive","*"
"17",5.35,3.3,4.33,"sample17","FPG","Blood OPEs","Not Significant",""
"18",3.38,1.54,2.46,"sample18","FPG","Blood OPEs","Positive","*"
"19",3.19,1.51,2.35,"sample19","FPG","Urine OPEs","Not Significant",""
"20",-1.37,-4.37,-2.87,"sample20","FPG","Urine OPEs","Negative","*"
"21",0.5,-2.29,-0.9,"sample21","FPG","Urine OPEs","Not Significant",""
"22",5.98,4.04,5.01,"sample22","FPG","Urine OPEs","Not Significant",""
"23",7.34,5.17,6.26,"sample23","FPG","Urine OPEs","Not Significant",""
"24",4.73,3.04,3.88,"sample24","FPG","Urine OPEs","Positive","*"
"25",-0.81,-2.64,-1.72,"sample25","FPG","Urine OPEs","Not Significant",""
"26",5.59,3.84,4.71,"sample1","GSP","Blood OPEs","Not Significant",""
"27",1.39,-0.53,0.43,"sample2","GSP","Blood OPEs","Not Significant",""
"28",2.17,-0.69,0.74,"sample3","GSP","Blood OPEs","Positive","*"
"29",4,1.58,2.79,"sample4","GSP","Blood OPEs","Not Significant",""
"30",2.66,0.55,1.61,"sample5","GSP","Blood OPEs","Not Significant",""
"31",-0.33,-3.03,-1.68,"sample6","GSP","Blood OPEs","Not Significant",""
"32",2,-0.99,0.51,"sample7","GSP","Blood OPEs","Positive","*"
"33",-1.96,-3.55,-2.75,"sample8","GSP","Blood OPEs","Negative","*"
"34",2.32,-0.17,1.08,"sample9","GSP","Blood OPEs","Not Significant",""
"35",-1.16,-2.83,-2,"sample10","GSP","Blood OPEs","Negative","*"
"36",-0.66,-2.76,-1.71,"sample11","GSP","Blood OPEs","Not Significant",""
"37",4.09,1.84,2.96,"sample12","GSP","Blood OPEs","Not Significant",""
