"","BRCA","BS","CRC","CUP","ECC","ESCA","GBC","GC","GINET","HNC","ICC","KIRC","LIHC","MM","NSCLC","OV","PAC","SCLC","STS","THCA","UC"
"ALK",1,0,3,1,0,1,0,1,0,0,0,1,0,0,128,0,0,2,1,0,0
"BLK",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRAF",0,0,4,0,1,0,1,0,0,0,1,0,0,1,2,0,2,0,0,0,0
"BRD4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CAMTA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CBFB",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"COL1A1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CREBBP",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGFR",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ERBB2",3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ETV6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"EWSR1",0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0
"FGFR2",0,1,1,2,3,0,0,1,0,0,22,0,2,0,0,0,0,0,0,0,0
"FGFR3",0,0,0,1,1,5,4,0,0,1,1,0,0,0,4,0,0,0,0,0,1
"FOXO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"FUS",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"MET",0,0,0,0,0,0,0,2,0,0,5,0,1,0,2,0,0,1,1,0,0
"MYB",0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"MYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"NCOA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NTRK1",0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0
"NTRK3",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,8,1,0
"PDGFB",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0
"PRKACA",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"RAF1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RET",2,0,2,0,0,0,0,1,0,0,1,0,1,1,36,0,0,0,0,6,0
"ROS1",2,0,3,0,0,1,1,0,0,0,2,1,0,0,36,0,0,0,5,0,0
"SS18",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0
"TERT",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"TFE3",0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,8,0,0
