"ID","NES","setSize","pvalue"
"KRAS_SIGNALING_DN",2.1,55,5.75439937337157e-07
"INTERFERON_GAMMA_RESPONSE",1.81666666666667,20,2.75422870333817e-06
"COMPLEMENT",1.7,21,5.24807460249773e-06
"INFLAMMATORY_RESPONSE",1.58333333333333,22,1e-05
"IL6_JAK_STAT3_SIGNALING",1.46666666666667,23,1.90546071796325e-05
"ALLOGRAFT_REJECTION",1.35,24,3.63078054770102e-05
"INTERFERON_ALPHA_RESPONSE",1.32,28,4.28548520397439e-05
"IL2_STAT5_SIGNALING",1.23333333333333,24,6.91830970918936e-05
"COAGULATION",1.11666666666667,25,0.000131825673855641
"APICAL_JUNCTION",1,26,0.000251188643150958
"APOPTOSIS",0.883333333333333,27,0.000478630092322639
"HYPOXIA",0.766666666666667,28,0.00091201083935591
"P53_PATHWAY",0.65,29,0.00173780082874938
"WNT_BETA_CATENIN_SIGNALING",0.533333333333333,30,0.00331131121482591
"NOTCH_SIGNALING",0.416666666666667,31,0.00398107170553497
"HEDGEHOG_SIGNALING",0.3,32,0.00398107170553497
"TGF_BETA_SIGNALING",0.183333333333333,33,0.00398107170553497
"ANGIOGENESIS",0.0666666666666667,34,0.00398107170553497
"UV_RESPONSE_UP",-0.166666666666667,35,0.00398107170553497
"DNA_REPAIR",-0.283333333333333,36,0.00398107170553497
"UNFOLDED_PROTEIN_RESPONSE",-0.4,37,0.00398107170553497
"PROTEIN_SECRETION",-0.516666666666667,38,0.00363078054770102
"UV_RESPONSE_DN",-0.75,34,0.001
"OXIDATIVE_PHOSPHORYLATION",-0.75,40,0.001
"REACTIVE_OXYGEN_SPECIES_PATHWAY",-0.866666666666667,41,0.000524807460249772
"FATTY_ACID_METABOLISM",-0.983333333333333,42,0.000275422870333817
"ADIPOGENESIS",-1.1,43,0.000144543977074593
"BILE_ACID_METABOLISM",-1.21666666666667,44,7.58577575029185e-05
"CHOLESTEROL_HOMEOSTASIS",-1.33333333333333,45,3.98107170553498e-05
"MYC_TARGETS_V2",-1.35,39,3.63078054770101e-05
"GLYCOLYSIS",-1.45,46,2.08929613085404e-05
"HEME_METABOLISM",-1.56666666666667,46,1.09647819614319e-05
"XENOBIOTIC_METABOLISM",-1.68333333333333,47,5.75439937337158e-06
"PEROXISOME",-1.8,48,3.01995172040202e-06
"MYC_TARGETS_V1",-2.05,49,7.58577575029185e-07
"MITOTIC_SPINDLE",-2.26666666666667,52,2.29086765276777e-07
"SPERMATOGENESIS",-2.38333333333333,53,1.20226443461742e-07
"TNFA_SIGNALING_VIA_NFKB",-2.45,50,8.31763771102671e-08
"ESTROGEN_RESPONSE_EARLY",-2.5,54,6.30957344480193e-08
"ESTROGEN_RESPONSE_LATE",-2.61666666666667,55,3.31131121482592e-08
"ANDROGEN_RESPONSE",-2.73333333333333,56,1.73780082874938e-08
"PI3K_AKT_MTOR_SIGNALING",-2.85,56,9.12010839355911e-09
"KRAS_SIGNALING_UP",-2.85,51,9.12010839355911e-09
"MTORC1_SIGNALING",-2.96666666666667,57,4.7863009232264e-09
"G2M_CHECKPOINT",-3.3,58,7.58577575029185e-10
"MYOGENESIS",-3.31666666666667,60,6.91830970918939e-10
"PANCREAS_BETA_CELLS",-3.43333333333333,61,3.63078054770103e-10
"EPITHELIAL_MESENCHYMAL_TRANSITION",-3.55,62,1.90546071796325e-10
"E2F_TARGETS",-3.8,62,1e-10
