Pathway,Number
Cellular processes,
Transport and catabolism,945
Cellular community-prokaryotes,17
Cellular community-eukaryotes,493
Cell motility,221
Cell growth and death,414
Environmental Information Processing,
Signaling molecules and interaction,377
Signal transduction,1650
Membrane transport,35
Genetic Information Processing,
Translation,514
Transcription,260
Replication and repair,112
"Folding,sorting and degradation",562
Human Diseases,
Substance dependence,197
Neurodegenerative diseases,334
Infectious diseases:Viral,625
Infectious diseases:Parasitic,237
Infectious diseases:Bacterial,506
Immune diseases,171
Endocrine and metabolic diseases,360
Drug resistance:Antineoplastic,210
Drug resistance:Antimicrobial,10
Cardiovascular diseases,395
Cancers:Specific types,383
Cancers:Overview,930
Metabolism,
Xenobiotics biodegradation and metabolism,126
Nucleotide metabolism,216
Metabolism of terpenoids and polyketides,59
Metabolism of other amino acids,161
Metabolism of cofactors and vitamins,199
Lipid metabolism,428
Glycan biosynthesis and metabolism,195
Global and overview maps,332
Energy metabolism,315
Carbohydrate metabolism,482
Biosynthesis of other secondary metabolites,55
Amino acid metabolism,442
Organismal Systems,
Sensory system,119
Nervous system,454
Immune system,804
Excretory system,219
Environmental adaptation,153
Endocrine system,763
Digestive system,355
Development,267
Circulatory system,305
Aging,159
