Description,p.adjust
Synthetic pathway 01,1.12201845e-15
Synthetic pathway 02,3.98107171e-15
Synthetic pathway 03,1.41253754e-14
Synthetic pathway 04,5.01187234e-14
Synthetic pathway 05,1.77827941e-13
Synthetic pathway 06,6.30957344e-13
Synthetic pathway 07,2.23872114e-12
Synthetic pathway 08,7.94328235e-12
Synthetic pathway 09,2.81838293e-11
Synthetic pathway 10,1.00000000e-10
Synthetic pathway 11,3.54813389e-10
Synthetic pathway 12,1.25892541e-09
Synthetic pathway 13,4.46683592e-09
Synthetic pathway 14,1.58489319e-08
Synthetic pathway 15,5.62341325e-08
