"gcc","class","n","prop"
"gcc_0","NRPS",8,0.888888888888889
"gcc_0","Other",1,0.111111111111111
"gcc_1","NRPS",2,0.117647058823529
"gcc_1","Other",7,0.411764705882353
"gcc_1","RiPPs",5,0.294117647058824
"gcc_1","Terpenes",3,0.176470588235294
"gcc_10","RiPPs",61,0.043509272467903
"gcc_10","Terpenes",1341,0.956490727532097
"gcc_102","NRPS",16,0.941176470588235
"gcc_102","RiPPs",1,0.0588235294117647
"gcc_104","RiPPs",23,1
"gcc_106","Other",2,1
"gcc_107","Other",1,1
"gcc_108","Terpenes",44,1
"gcc_109","Other",2,1
"gcc_11","NRPS",2,0.0212765957446809
"gcc_11","Other",89,0.946808510638298
"gcc_11","RiPPs",1,0.0106382978723404
"gcc_11","Terpenes",2,0.0212765957446809
"gcc_110","RiPPs",1,0.5
"gcc_110","Terpenes",1,0.5
"gcc_111","RiPPs",1,1
"gcc_112","NRPS",1,0.111111111111111
"gcc_112","Terpenes",8,0.888888888888889
"gcc_113","Other",1,0.333333333333333
"gcc_113","RiPPs",2,0.666666666666667
"gcc_114","NRPS",1,1
"gcc_115","RiPPs",22,1
"gcc_116","NRPS",1,1
"gcc_119","RiPPs",16,1
"gcc_12","NRPS",3,1
"gcc_120","Other",1,1
"gcc_121","NRPS",11,0.785714285714286
"gcc_121","Terpenes",3,0.214285714285714
"gcc_122","Other",2,1
"gcc_123","NRPS",1,0.00173913043478261
"gcc_123","Other",573,0.996521739130435
"gcc_123","RiPPs",1,0.00173913043478261
"gcc_124","Other",2,1
"gcc_125","RiPPs",1,1
"gcc_126","Other",4,1
"gcc_128","Other",9,1
"gcc_13","Other",1,0.00136986301369863
"gcc_13","RiPPs",728,0.997260273972603
"gcc_13","Terpenes",1,0.00136986301369863
"gcc_130","NRPS",1,1
"gcc_131","RiPPs",2,0.4
"gcc_131","T2/3PKS",3,0.6
"gcc_132","NRPS",4,1
"gcc_135","RiPPs",4,1
"gcc_137","Other",1,1
"gcc_139","Other",1,1
"gcc_14","NRPS",4,0.000610873549175321
"gcc_14","Other",4,0.000610873549175321
"gcc_14","RiPPs",2,0.00030543677458766
"gcc_14","T2/3PKS",2,0.00030543677458766
"gcc_14","Terpenes",6536,0.998167379352474
"gcc_140","RiPPs",9,1
"gcc_142","Other",1,1
"gcc_146","Other",1,0.5
"gcc_146","RiPPs",1,0.5
"gcc_147","NRPS",1,1
"gcc_148","RiPPs",2,1
"gcc_149","Other",1,0.5
"gcc_149","RiPPs",1,0.5
"gcc_15","NRPS",16,0.727272727272727
"gcc_15","Other",4,0.181818181818182
"gcc_15","RiPPs",2,0.0909090909090909
"gcc_150","NRPS",6,1
"gcc_151","NRPS",1,0.04
"gcc_151","Other",3,0.12
