"gcc","n_bgc","prevalence","refseq","mibig_min","only_mag","no_mag","genome_type"
"gcc_0",9,0.15606936416185,0.487018540690364,0.564598428992193,TRUE,FALSE,"MAGs only"
"gcc_1",17,0.443159922928709,0.277305716209357,0.54597318264535,FALSE,FALSE,"REFs/SAGs and MAGs"
"gcc_10",1368,0.999036608863198,0.170198556968017,0.145080604078806,FALSE,FALSE,"REFs/SAGs and MAGs"
"gcc_102",16,0.182080924855491,0.218442528644471,0.365121474723869,FALSE,FALSE,"REFs/SAGs and MAGs"
"gcc_104",23,0.783236994219653,0.462098480526874,0.0434782608695652,FALSE,FALSE,"REFs/SAGs and MAGs"
"gcc_106",2,0.010597302504817,0.602587322070127,0.607276518172007,TRUE,FALSE,"MAGs only"
"gcc_107",1,0,3.33066907387547e-16,0.77938140066694,FALSE,TRUE,"REFs/SAGs only"
"gcc_108",44,0.684007707129094,0.170273190817593,0.586929914113357,FALSE,FALSE,"REFs/SAGs and MAGs"
"gcc_109",2,0.0298651252408478,0.530792087257901,0.748310368498628,TRUE,FALSE,"MAGs only"
"gcc_11",92,0.409441233140655,0.0889845300780089,0.468353154345809,FALSE,FALSE,"REFs/SAGs and MAGs"
"gcc_110",2,0.0317919075144509,0.198605724479097,0.562835003012026,FALSE,FALSE,"REFs/SAGs and MAGs"
"gcc_111",1,0.00192678227360308,0,1,FALSE,TRUE,"REFs/SAGs only"
"gcc_112",8,0.0973025048169557,0.0663605202294076,0.448855622057603,FALSE,FALSE,"REFs/SAGs and MAGs"
"gcc_113",2,0.0298651252408478,0.566588022176175,0.599831372717995,TRUE,FALSE,"MAGs only"
"gcc_114",1,0.0192678227360308,0,0.604375266553258,FALSE,TRUE,"REFs/SAGs only"
"gcc_115",22,0.328516377649326,0.121347254591935,0.625,FALSE,FALSE,"REFs/SAGs and MAGs"
"gcc_116",1,0,0,0.648648581998307,FALSE,TRUE,"REFs/SAGs only"
"gcc_119",16,0.34971098265896,0.279932477786608,0.575735931288071,FALSE,FALSE,"REFs/SAGs and MAGs"
"gcc_12",3,0.131984585741811,0.487325772576349,0.718816992657872,TRUE,FALSE,"MAGs only"
"gcc_120",1,0.00192678227360308,0.0152680721653382,0.733712390620422,FALSE,TRUE,"REFs/SAGs only"
"gcc_121",12,0.335260115606936,0.49131578779963,0.65557369225207,TRUE,FALSE,"MAGs only"
"gcc_122",2,0.0173410404624277,0.13632698131958,0.667732138126766,TRUE,FALSE,"MAGs only"
"gcc_123",573,0.975915221579961,0.0674064189556507,0,FALSE,FALSE,"REFs/SAGs and MAGs"
"gcc_124",2,0.00289017341040462,0.122919391081668,0.73678186264358,TRUE,FALSE,"MAGs only"
