domain,node,x,y,n_genomes
Bacteria,60777,0.885349623018402,-0.0011097019745264667,0
Bacteria,60777,0.9999445222159896,-0.010533398797931979,0
Bacteria,60777,0.9999848796826172,-0.0054991277618908945,0
Bacteria,60777,0.9999998920188876,-4.647173476315036e-4,0
Bacteria,30423,0.9872611279889059,-1.9116558127849575e-4,0
Bacteria,30423,0.9999998920188876,-4.647173476315036e-4,0
Bacteria,30423,0.9999999730047215,-2.3235868008890563e-4,0
Bacteria,30423,1,-2.4492935982947064e-16,0
Bacteria,60774,0.9872031062612936,-0.01070506283303534,0
Bacteria,60774,0.9999378035228682,-0.011152985513384502,0
Bacteria,60774,0.9999412108582135,-0.010843192676040472,0
Bacteria,60774,0.9999445222159896,-0.010533398797931979,0
Bacteria,60771,0.980828359344248,-0.011148783378101774,0
Bacteria,60771,0.9999307009207873,-0.011772567946840527,0
Bacteria,60771,0.9999343002102807,-0.011462777280229161,0
Bacteria,60771,0.9999378035228682,-0.011152985513384502,0
Bacteria,60764,0.9744489759587306,-0.011953777417398228,0
Bacteria,60764,0.999915344000802,-0.013011719016249083,0
Bacteria,60764,0.9999232144124738,-0.012392145860421118,0
Bacteria,60764,0.9999307009207873,-0.011772567946840527,0
Bacteria,60694,0.8916331239817918,-0.012428847047005576,6
Bacteria,60694,0.9997117642618494,-0.02400809022934815,6
Bacteria,60694,0.9998286718581726,-0.01851018450266311,6
Bacteria,60694,0.999915344000802,-0.013011719016249083,6
Bacteria,60693,0.9933404661843573,-0.02400904693241466,0
Bacteria,60693,0.9997042782999188,-0.024317811349678836,0
Bacteria,60693,0.9997080332752827,-0.024162951079418203,0
Bacteria,60693,0.9997117642618494,-0.02400809022934815,0
Bacteria,47134,-0.4937150021671454,-0.803045423668605,22
Bacteria,47134,-0.5262642951460862,-0.8503210521058461,22
Bacteria,47134,-0.5247486849056854,-0.8512571983189063,22
Bacteria,47134,-0.5232314094046483,-0.8521906431148052,22
Bacteria,60318,0.9712343736711422,-0.0799843168451652,0
Bacteria,60318,0.9965806767796576,-0.08262538755975435,0
Bacteria,60318,0.9966125999253247,-0.08223944108567761,0
Bacteria,60318,0.9966443736052449,-0.08185348227784202,0
Bacteria,60673,0.9487497370335859,-0.023655077054059784,0
Bacteria,60673,0.9996198825698023,-0.027569736508257812,0
Bacteria,60673,0.9996634027579797,-0.025943808246616996,0
Bacteria,60673,0.9997042782999188,-0.024317811349678836,0
Bacteria,41406,-0.9536295586163638,-0.12497219455235369,5
Bacteria,41406,-0.9916929762136337,-0.12862752788009774,5
Bacteria,41406,-0.9915729970029453,-0.1295491860823408,5
Bacteria,41406,-0.991452161223061,-0.13047073237366813,5
Bacteria,47109,-0.5038361424292197,-0.811766639693823,0
Bacteria,47109,-0.5296847285546278,-0.8481946052268963,0
Bacteria,47109,-0.5279755823972399,-0.8492595506629851,0
Bacteria,47109,-0.5262642951460862,-0.8503210521058461,0
Bacteria,60647,0.9422771431223262,-0.027390534664746037,0
Bacteria,60647,0.9994958305555764,-0.03175034963615982,0
Bacteria,60647,0.9995600422174393,-0.029660107927498184,0
Bacteria,60647,0.9996198825698023,-0.027569736508257812,0
Bacteria,41267,-0.8977118140688524,-0.11026720133755695,0
Bacteria,41267,-0.9942490820987634,-0.1070923094613537,0
Bacteria,41267,-0.9936538494224096,-0.11248123189237931,0
Bacteria,41267,-0.9930294085028932,-0.11786684796156245,0
Bacteria,41267,-0.9923757776955218,-0.12324899935986641,0
Bacteria,41267,-0.9916929762136337,-0.12862752788009774,0
Bacteria,42654,-0.9301779972483742,-0.3113156907381066,9
Bacteria,42654,-0.9484580108004655,-0.31690282698080174,9
Bacteria,42654,-0.9483352144761955,-0.31727010729721816,9
Bacteria,42654,-0.9482122759265197,-0.31763734003144156,9
Bacteria,46935,-0.46346432424692136,-0.7318306422417181,243
Bacteria,46935,-0.5524805937074468,-0.833525760595716,243
Bacteria,46935,-0.5479533670524065,-0.8365088807274736,243
Bacteria,46935,-0.5434100334249068,-0.8394674118589367,243
Bacteria,46935,-0.5388507263752718,-0.8424012670247132,243
Bacteria,46935,-0.5342755799233604,-0.8453103599847556,243
Bacteria,46935,-0.5296847285546278,-0.8481946052268963,243
Bacteria,60214,0.8884660289625748,-0.0761066317735875,6
Bacteria,60214,0.9951050035416752,-0.0988232357612451,6
Bacteria,60214,0.995626165659706,-0.09342664637966945,6
Bacteria,60214,0.9961180615587584,-0.08802731074173295,6
Bacteria,60214,0.9965806767796576,-0.08262538755975435,6
Bacteria,60642,0.97402224291665,-0.03121489780829358,22
Bacteria,60642,0.9994658889755611,-0.03267930192478694,22
Bacteria,60642,0.9994809676906355,-0.03221482925906693,22
Bacteria,60642,0.9994958305555764,-0.03175034963615982,22
Bacteria,41988,-0.8939777820923197,-0.20507289314098764,4
Bacteria,41988,-0.9761184172643991,-0.21723912050375385,4
Bacteria,41988,-0.9752698098391536,-0.22101764186666475,4
Bacteria,41988,-0.9744065759431774,-0.2247928485488205,4
Bacteria,42410,-0.9413363985323491,-0.27574326947885325,0
Bacteria,42410,-0.9597992210875438,-0.28068746890401813,0
Bacteria,42410,-0.9596904488339433,-0.2810591439837965,0
Bacteria,42410,-0.95958153265195,-0.2814307769120759,0
Bacteria,42596,-0.8582017321568183,-0.28554359340150465,15
Bacteria,42596,-0.9513146735432287,-0.3082213358957166,15
Bacteria,42596,-0.9498962601865935,-0.3125653449816911,15
Bacteria,42596,-0.9484580108004655,-0.31690282698080174,15
Bacteria,46867,-0.49802214437916403,-0.7473540690501806,1
Bacteria,46867,-0.5613580051467062,-0.8275730723372472,1
Bacteria,46867,-0.556927252609101,-0.8305612772705447,1
Bacteria,46867,-0.5524805937074468,-0.833525760595716,1
Bacteria,58943,0.8429326930005082,-0.24914229484242448,302
Bacteria,58943,0.9564584421041249,-0.29186854665713874,302
Bacteria,58943,0.9581599224518752,-0.28623340651820595,302
Bacteria,58943,0.9598282027118485,-0.28058834843760444,302
Bacteria,59322,0.9171490119201449,-0.21788562544118292,167
