scenario,site,cell,state
polyclonal,1,1,0.5
polyclonal,1,2,0
polyclonal,1,3,1
polyclonal,1,4,0.5
polyclonal,1,5,1
polyclonal,1,6,0
polyclonal,1,7,0.5
polyclonal,1,8,1
polyclonal,2,1,0
polyclonal,2,2,0.5
polyclonal,2,3,0
polyclonal,2,4,1
polyclonal,2,5,0.5
polyclonal,2,6,1
polyclonal,2,7,0
polyclonal,2,8,0.5
polyclonal,3,1,0.5
polyclonal,3,2,1
polyclonal,3,3,0.5
polyclonal,3,4,0
polyclonal,3,5,1
polyclonal,3,6,0.5
polyclonal,3,7,0
polyclonal,3,8,0.5
polyclonal,4,1,1
polyclonal,4,2,0.5
polyclonal,4,3,0
polyclonal,4,4,0.5
polyclonal,4,5,0
polyclonal,4,6,1
polyclonal,4,7,0.5
polyclonal,4,8,0.5
polyclonal,5,1,0.5
polyclonal,5,2,0
polyclonal,5,3,1
polyclonal,5,4,0.5
polyclonal,5,5,0.5
polyclonal,5,6,1
polyclonal,5,7,0
polyclonal,5,8,0.5
polyclonal,6,1,1
polyclonal,6,2,0.5
polyclonal,6,3,1
polyclonal,6,4,0
polyclonal,6,5,0.5
polyclonal,6,6,1
polyclonal,6,7,0.5
polyclonal,6,8,0
polyclonal,7,1,0
polyclonal,7,2,1
polyclonal,7,3,0.5
polyclonal,7,4,0
polyclonal,7,5,1
polyclonal,7,6,0.5
polyclonal,7,7,0
polyclonal,7,8,1
polyclonal,8,1,0.5
polyclonal,8,2,0
polyclonal,8,3,0.5
polyclonal,8,4,1
polyclonal,8,5,0
polyclonal,8,6,0.5
polyclonal,8,7,1
polyclonal,8,8,0.5
polyclonal,9,1,0.5
polyclonal,9,2,1
polyclonal,9,3,0
polyclonal,9,4,0.5
polyclonal,9,5,1
polyclonal,9,6,0
polyclonal,9,7,0.5
polyclonal,9,8,0.5
clonal,1,1,1
clonal,1,2,1
clonal,1,3,1
clonal,1,4,1
clonal,1,5,1
clonal,1,6,1
clonal,1,7,1
clonal,1,8,1
clonal,2,1,0
clonal,2,2,0
clonal,2,3,0
clonal,2,4,0
clonal,2,5,0
clonal,2,6,0
clonal,2,7,0
clonal,2,8,0
clonal,3,1,0.5
clonal,3,2,0.5
clonal,3,3,0.5
clonal,3,4,0.5
clonal,3,5,0.5
clonal,3,6,0.5
clonal,3,7,0.5
clonal,3,8,0.5
clonal,4,1,1
clonal,4,2,1
clonal,4,3,1
clonal,4,4,1
clonal,4,5,1
clonal,4,6,1
clonal,4,7,1
clonal,4,8,1
clonal,5,1,0
clonal,5,2,0
clonal,5,3,0
clonal,5,4,0
clonal,5,5,0
clonal,5,6,0
clonal,5,7,0
clonal,5,8,0
clonal,6,1,0
clonal,6,2,0
clonal,6,3,0
clonal,6,4,0
clonal,6,5,0
clonal,6,6,0
clonal,6,7,0
clonal,6,8,0
clonal,7,1,1
clonal,7,2,1
clonal,7,3,1
clonal,7,4,1
clonal,7,5,1
clonal,7,6,1
clonal,7,7,1
clonal,7,8,1
clonal,8,1,0.5
clonal,8,2,0.5
clonal,8,3,0.5
clonal,8,4,0.5
clonal,8,5,0.5
clonal,8,6,0.5
clonal,8,7,0.5
clonal,8,8,0.5
clonal,9,1,0
clonal,9,2,0
clonal,9,3,0
clonal,9,4,0
clonal,9,5,0
clonal,9,6,0
clonal,9,7,0
clonal,9,8,0
evolving,1,1,1
evolving,1,2,1
evolving,1,3,1
evolving,1,4,1
evolving,1,5,1
evolving,1,6,1
evolving,1,7,1
evolving,1,8,1
evolving,2,1,0
evolving,2,2,0
evolving,2,3,0
evolving,2,4,0
evolving,2,5,1
evolving,2,6,0
evolving,2,7,0
evolving,2,8,0
evolving,3,1,1
evolving,3,2,0.5
evolving,3,3,1
evolving,3,4,0.5
evolving,3,5,1
evolving,3,6,0.5
evolving,3,7,1
evolving,3,8,0
evolving,4,1,0.5
evolving,4,2,0.5
evolving,4,3,0.5
evolving,4,4,0.5
evolving,4,5,0.5
evolving,4,6,0.5
evolving,4,7,0.5
evolving,4,8,0.5
evolving,5,1,1
evolving,5,2,1
evolving,5,3,1
evolving,5,4,1
evolving,5,5,1
evolving,5,6,1
evolving,5,7,1
evolving,5,8,0
evolving,6,1,0
evolving,6,2,0
evolving,6,3,0.5
evolving,6,4,0
evolving,6,5,1
evolving,6,6,0
evolving,6,7,0
evolving,6,8,0
evolving,7,1,0
evolving,7,2,0
evolving,7,3,0
evolving,7,4,0
evolving,7,5,0
evolving,7,6,0
evolving,7,7,0
evolving,7,8,0
evolving,8,1,1
evolving,8,2,1
evolving,8,3,0.5
evolving,8,4,1
evolving,8,5,1
evolving,8,6,1
evolving,8,7,0.5
evolving,8,8,1
evolving,9,1,0.5
evolving,9,2,0.5
evolving,9,3,0.5
evolving,9,4,0
evolving,9,5,0.5
evolving,9,6,0.5
evolving,9,7,1
evolving,9,8,0.5
evolving,10,1,0
evolving,10,2,0
evolving,10,3,0.5
evolving,10,4,0
evolving,10,5,0
evolving,10,6,1
evolving,10,7,0
evolving,10,8,0
