combo_id,pattern,step0,step1,step2,step3,step4,step5,species,n
C01_S0_S2_S4_S5,101011,1,0,1,0,1,1,F. prausnitzii,3360
C01_S0_S2_S4_S5,101011,1,0,1,0,1,1,F. lactaris,240
C02_complete,111111,1,1,1,1,1,1,F. prausnitzii,1794
C02_complete,111111,1,1,1,1,1,1,C. aerofaciens,884
C03_S0_only,100000,1,0,0,0,0,0,B. bifidum,960
C03_S0_only,100000,1,0,0,0,0,0,F. prausnitzii,30
C03_S0_only,100000,1,0,0,0,0,0,F. lactaris,15
C03_S0_only,100000,1,0,0,0,0,0,C. aerofaciens,8
C04_S0_S2_S5,101001,1,0,1,0,0,1,F. prausnitzii,620
C04_S0_S2_S5,101001,1,0,1,0,0,1,F. lactaris,18
C04_S0_S2_S5,101001,1,0,1,0,0,1,C. aerofaciens,6
C04_S0_S2_S5,101001,1,0,1,0,0,1,B. bifidum,6
C05_S0_S2_S4,101010,1,0,1,0,1,0,F. prausnitzii,560
C05_S0_S2_S4,101010,1,0,1,0,1,0,F. lactaris,16
C05_S0_S2_S4,101010,1,0,1,0,1,0,C. aerofaciens,12
C05_S0_S2_S4,101010,1,0,1,0,1,0,B. bifidum,8
C06_S0_S4_S5,100011,1,0,0,0,1,1,F. prausnitzii,490
C06_S0_S4_S5,100011,1,0,0,0,1,1,C. aerofaciens,18
C06_S0_S4_S5,100011,1,0,0,0,1,1,F. lactaris,12
C06_S0_S4_S5,100011,1,0,0,0,1,1,B. bifidum,10
C07_S2_S4_S5,001011,0,0,1,0,1,1,F. prausnitzii,160
C07_S2_S4_S5,001011,0,0,1,0,1,1,B. bifidum,20
C07_S2_S4_S5,001011,0,0,1,0,1,1,F. lactaris,20
C07_S2_S4_S5,001011,0,0,1,0,1,1,C. aerofaciens,10
C08_S0_S2,101000,1,0,1,0,0,0,F. prausnitzii,150
C08_S0_S2,101000,1,0,1,0,0,0,F. lactaris,20
C08_S0_S2,101000,1,0,1,0,0,0,B. bifidum,12
C08_S0_S2,101000,1,0,1,0,0,0,C. aerofaciens,8
C09_S0_S5,100001,1,0,0,0,0,1,F. prausnitzii,90
C09_S0_S5,100001,1,0,0,0,0,1,F. lactaris,15
C09_S0_S5,100001,1,0,0,0,0,1,C. aerofaciens,18
C09_S0_S5,100001,1,0,0,0,0,1,B. bifidum,10
C10_miss_S3,111011,1,1,1,0,1,1,F. prausnitzii,80
C10_miss_S3,111011,1,1,1,0,1,1,C. aerofaciens,15
C11_miss_S1,101111,1,0,1,1,1,1,F. prausnitzii,70
C11_miss_S1,101111,1,0,1,1,1,1,C. aerofaciens,8
C12_none,000000,0,0,0,0,0,0,F. prausnitzii,80
C12_none,000000,0,0,0,0,0,0,F. lactaris,60
C12_none,000000,0,0,0,0,0,0,C. aerofaciens,30
C12_none,000000,0,0,0,0,0,0,B. bifidum,20
C13_S2_only,001000,0,0,1,0,0,0,B. bifidum,30
C13_S2_only,001000,0,0,1,0,0,0,F. lactaris,25
C13_S2_only,001000,0,0,1,0,0,0,F. prausnitzii,40
C13_S2_only,001000,0,0,1,0,0,0,C. aerofaciens,15
C14_miss_S4,111101,1,1,1,1,0,1,F. prausnitzii,45
C14_miss_S4,111101,1,1,1,1,0,1,C. aerofaciens,10
C15_miss_S5,111110,1,1,1,1,1,0,F. prausnitzii,35
C15_miss_S5,111110,1,1,1,1,1,0,C. aerofaciens,8
C16_miss_S0,011111,0,1,1,1,1,1,F. prausnitzii,30
C16_miss_S0,011111,0,1,1,1,1,1,C. aerofaciens,12
C17_S0_S4,100010,1,0,0,0,1,0,F. prausnitzii,50
C17_S0_S4,100010,1,0,0,0,1,0,F. lactaris,12
C17_S0_S4,100010,1,0,0,0,1,0,C. aerofaciens,8
C17_S0_S4,100010,1,0,0,0,1,0,B. bifidum,8
C18_miss_S2,110111,1,1,0,1,1,1,F. prausnitzii,22
C18_miss_S2,110111,1,1,0,1,1,1,C. aerofaciens,6
C19_S2_S5,001001,0,0,1,0,0,1,F. prausnitzii,25
C19_S2_S5,001001,0,0,1,0,0,1,F. lactaris,10
C19_S2_S5,001001,0,0,1,0,0,1,C. aerofaciens,8
C19_S2_S5,001001,0,0,1,0,0,1,B. bifidum,8
C20_S4_only,000010,0,0,0,0,1,0,F. prausnitzii,20
C20_S4_only,000010,0,0,0,0,1,0,F. lactaris,8
C20_S4_only,000010,0,0,0,0,1,0,C. aerofaciens,6
C20_S4_only,000010,0,0,0,0,1,0,B. bifidum,5
C21_S5_only,000001,0,0,0,0,0,1,F. prausnitzii,15
C21_S5_only,000001,0,0,0,0,0,1,F. lactaris,6
C21_S5_only,000001,0,0,0,0,0,1,C. aerofaciens,5
C21_S5_only,000001,0,0,0,0,0,1,B. bifidum,4
C22_S2_S4,001010,0,0,1,0,1,0,F. prausnitzii,11
C22_S2_S4,001010,0,0,1,0,1,0,C. aerofaciens,4
C22_S2_S4,001010,0,0,1,0,1,0,B. bifidum,4
C22_S2_S4,001010,0,0,1,0,1,0,F. lactaris,2
C23_S1_only,010000,0,1,0,0,0,0,F. prausnitzii,8
C23_S1_only,010000,0,1,0,0,0,0,F. lactaris,3
C23_S1_only,010000,0,1,0,0,0,0,C. aerofaciens,2
C23_S1_only,010000,0,1,0,0,0,0,B. bifidum,2
C24_S3_only,000100,0,0,0,1,0,0,F. prausnitzii,6
C24_S3_only,000100,0,0,0,1,0,0,F. lactaris,2
C24_S3_only,000100,0,0,0,1,0,0,C. aerofaciens,2
C24_S3_only,000100,0,0,0,1,0,0,B. bifidum,2
