sample,group,PC1,PC2
S01,healthy,14.52404,-4.05644
S02,healthy,9.32752,-10.52857
S03,healthy,10.22953,-11.78292
S04,healthy,14.33114,-11.95827
S05,healthy,13.51911,-6.40352
S06,healthy,13.23363,-15.53927
S07,healthy,17.73936,-3.94035
S08,healthy,16.14322,-13.78631
S09,healthy,14.03601,-5.24621
S10,healthy,13.54073,-7.75745
S11,NAFLD,-3.65305,-0.38431
S12,NAFLD,2.07082,3.51868
S13,NAFLD,-6.05051,0.66225
S14,NAFLD,5.09188,1.05460
S15,NAFLD,3.74066,1.52070
S16,NAFLD,3.20414,0.59942
S17,NAFLD,-0.16088,4.39459
S18,NAFLD,7.73647,1.73057
S19,NAFLD,0.79692,0.84866
S20,NAFLD,-0.04023,3.12429
S21,NASH,-11.17580,11.87545
S22,NASH,-13.78194,8.11946
S23,NASH,-10.45201,9.12854
S24,NASH,-7.95126,11.44208
S25,NASH,-9.94334,7.19052
S26,NASH,-16.51583,7.86015
S27,NASH,-10.95386,12.79883
S28,NASH,-9.46172,6.90012
S29,NASH,-15.16543,9.58062
S30,NASH,-14.37741,6.17813
S31,obese,-0.90233,-8.11200
S32,obese,-2.32243,-7.54581
S33,obese,-5.14258,-13.50558
S34,obese,-7.27161,-8.37638
S35,obese,-7.22847,-7.23694
S36,obese,-3.94157,-7.90417
S37,obese,-4.45033,-10.33019
S38,obese,0.32948,-12.01201
S39,obese,-1.26237,-12.35294
S40,obese,-0.51970,-5.96668
