patient,ctniche,Proportion
control_P1,niche_1,0.081446
control_P1,niche_2,0.062062
control_P1,niche_3,0.096160
control_P1,niche_4,0.067870
control_P1,niche_5,0.118242
control_P1,niche_6,0.188473
control_P1,niche_7,0.152743
control_P1,niche_8,0.127990
control_P1,niche_9,0.105014
control_P17,niche_1,0.069101
control_P17,niche_2,0.072398
control_P17,niche_3,0.113932
control_P17,niche_4,0.076153
control_P17,niche_5,0.104106
control_P17,niche_6,0.157941
control_P17,niche_7,0.126808
control_P17,niche_8,0.158526
control_P17,niche_9,0.121035
control_P7,niche_1,0.068610
control_P7,niche_2,0.078570
control_P7,niche_3,0.097492
control_P7,niche_4,0.067706
control_P7,niche_5,0.104054
control_P7,niche_6,0.204356
control_P7,niche_7,0.160167
control_P7,niche_8,0.116247
control_P7,niche_9,0.102798
control_P8,niche_1,0.071433
control_P8,niche_2,0.075943
control_P8,niche_3,0.108116
control_P8,niche_4,0.060387
control_P8,niche_5,0.097143
control_P8,niche_6,0.144567
control_P8,niche_7,0.152779
control_P8,niche_8,0.167514
control_P8,niche_9,0.122118
FZ_P14,niche_1,0.252538
FZ_P14,niche_2,0.043861
FZ_P14,niche_3,0.087981
FZ_P14,niche_4,0.040876
FZ_P14,niche_5,0.166586
FZ_P14,niche_6,0.100053
FZ_P14,niche_7,0.081016
FZ_P14,niche_8,0.142693
FZ_P14,niche_9,0.084395
FZ_P18,niche_1,0.187958
FZ_P18,niche_2,0.054672
FZ_P18,niche_3,0.084647
FZ_P18,niche_4,0.033382
FZ_P18,niche_5,0.193904
FZ_P18,niche_6,0.126004
FZ_P18,niche_7,0.095490
FZ_P18,niche_8,0.118880
FZ_P18,niche_9,0.105063
FZ_P20,niche_1,0.235101
FZ_P20,niche_2,0.063636
FZ_P20,niche_3,0.086357
FZ_P20,niche_4,0.040996
FZ_P20,niche_5,0.160956
FZ_P20,niche_6,0.123164
FZ_P20,niche_7,0.119087
FZ_P20,niche_8,0.091873
FZ_P20,niche_9,0.078831
FZGT_P19,niche_1,0.192936
FZGT_P19,niche_2,0.056997
FZGT_P19,niche_3,0.115670
FZGT_P19,niche_4,0.045465
FZGT_P19,niche_5,0.152879
FZGT_P19,niche_6,0.150454
FZGT_P19,niche_7,0.100007
FZGT_P19,niche_8,0.100604
