,AP_1,AP_2,AP_3,AP_4,AP_5,AP_6,AP_7,AP_8,AP_9,AP_10,AP_11,AP_12,AP_13,AP_14,AP_15,AP_16,AP_17,AP_18,AP_19,AP_20,AP_21,AP_22,AP_23,AP_24,AP_25,AP_26,AP_27,AP_28,AP_29,AP_30,AP_31,AP_32,AP_33,AP_34,AP_35,AP_36,AP_37,AP_38,AP_39,AP_40,AP_41,AP_42,AP_43,AP_44,AP_45,AP_46,AP_47,AP_48,AP_49,AP_50,AP_51,AP_52,AP_53,AP_54,AP_55,AP_56,AP_57,AP_58,AP_59,AP_60,AP_61,AP_62,AP_63,AP_64,AP_65,AP_66,AP_67,AP_68,AP_69,AP_70,AP_71,AP_72,AP_73,AP_74,AP_75,AP_76,AP_77,AP_78,AP_79,AP_80,AP_81,AP_82,AP_83,AP_84,AP_85,AP_86,AP_87,AP_88,AP_89,AP_90,AP_91,AP_92,AP_93,AP_94,AP_95,AP_96,AP_97,AP_98,AP_99,AP_100
HOXA1,0.1817652,0.2253136,0.2620303,0.2917872,0.3481763,0.3944947,0.4528311,0.4866057,0.5155738,0.5431547,0.5673904,0.5514105,0.5584421,0.5527534,0.5050361,0.4821797,0.4490844,0.3841101,0.3618142,0.2945058,0.2669556,0.2130770,0.1643920,0.1310187,0.1185626,0.0841901,0.0766207,0.0620520,0.0458416,0.0448603,0.0326865,0.0243226,0.0235414,0.0094349,0.0253810,0.0121978,0.0251338,0.0080892,0.0236613,0.0213841,0.0019772,0.0226740,0.0057589,0.0020971,0.0183729,0.0242844,0.0039875,0.0174082,0.0037967,0.0155043,0.0208775,0.0118407,0.0173122,0.0229652,0.0096258,0.0041214,0.0225919,0.0097527,0.0005543,0.0186954,0.0223328,0.0199072,0.0083892,0.0219308,0.0097859,0.0181828,0.0074168,0.0211901,0.0000087,0.0181288,0.0188972,0.0110659,0.0164099,0.0187299,0.0009658,0.0209270,0.0135835,0.0098196,0.0049084,0.0198414,0.0162696,0.0204587,0.0225120,0.0069656,0.0006326,0.0049573,0.0138379,0.0161222,0.0123330,0.0091039,0.0189635,0.0173484,0.0200075,0.0020676,0.0211814,0.0114602,0.0214819,0.0248194,0.0244737,0.0148270
HOXA2,0.2294256,0.2608455,0.3098781,0.3673908,0.3897943,0.4334875,0.4859365,0.5235929,0.5697229,0.6062070,0.6255905,0.6676244,0.6654458,0.6864935,0.6924712,0.6638380,0.6626181,0.6419449,0.6161130,0.5858678,0.5271751,0.5049001,0.4671336,0.4032437,0.3704855,0.3217972,0.2817272,0.2458122,0.2162623,0.1713442,0.1566006,0.1357292,0.1057820,0.0742849,0.0628536,0.0469749,0.0502301,0.0283678,0.0341714,0.0364368,0.0243188,0.0286235,0.0109843,0.0175446,0.0043758,0.0205020,0.0092739,0.0253243,0.0229451,0.0032858,0.0110406,0.0078027,0.0223377,0.0193285,0.0003621,0.0225402,0.0101437,0.0039613,0.0108670,0.0178981,0.0187277,0.0151655,0.0019777,0.0195140,0.0068731,0.0203970,0.0051403,0.0044147,0.0214502,0.0026575,0.0147859,0.0137156,0.0028709,0.0027375,0.0202878,0.0192231,0.0136715,0.0227602,0.0174257,0.0211011,0.0015618,0.0178987,0.0026629,0.0064040,0.0240049,0.0216704,0.0053035,0.0189770,0.0171289,0.0236428,0.0162640,0.0203495,0.0037777,0.0237250,0.0091554,0.0041148,0.0061130,0.0069662,0.0063158,0.0045974
HOXA3,0.2877573,0.3272723,0.3598513,0.4071398,0.4487723,0.4917082,0.5247348,0.5860413,0.6290717,0.6440676,0.6967333,0.7301268,0.7419299,0.7785536,0.7983303,0.7903318,0.8139362,0.7984223,0.8016674,0.7881420,0.7716977,0.7286622,0.7030662,0.6864468,0.6260065,0.5924313,0.5637565,0.5273888,0.4664956,0.4328028,0.3992003,0.3410223,0.3102958,0.2721414,0.2340457,0.2247970,0.1766257,0.1480976,0.1465259,0.1172225,0.1014530,0.0796607,0.0633092,0.0729049,0.0405380,0.0455935,0.0380794,0.0353227,0.0273847,0.0192791,0.0341627,0.0159438,0.0111271,0.0131382,0.0141714,0.0116225,0.0078908,0.0064689,0.0170175,0.0220175,0.0010942,0.0054621,0.0098096,0.0200336,0.0117256,0.0208481,0.0063591,0.0064416,0.0201145,0.0058246,0.0222488,0.0092314,0.0202055,0.0138530,0.0182728,0.0154488,0.0134498,0.0158269,0.0188163,0.0206462,0.0063636,0.0009550,0.0054875,0.0135006,0.0169541,0.0006448,0.0143001,0.0181033,0.0236598,0.0152353,0.0167044,0.0123913,0.0000095,0.0037346,0.0086282,0.0134181,0.0137927,0.0236465,0.0136571,0.0063044
HOXA4,0.3505173,0.3857564,0.4200276,0.4627881,0.5092409,0.5346764,0.5936640,0.6222604,0.6698799,0.7127021,0.7361972,0.7741143,0.8058403,0.8289309,0.8741914,0.8914670,0.9137947,0.9208147,0.9229819,0.9261478,0.9109331,0.9041839,0.8987060,0.8783955,0.8708387,0.8231105,0.7991903,0.7596579,0.7280073,0.7048090,0.6650385,0.6231903,0.5712732,0.5329836,0.4949961,0.4645932,0.4139076,0.3790998,0.3482476,0.3145598,0.2806259,0.2537921,0.2094271,0.2048182,0.1662003,0.1450182,0.1383116,0.1061395,0.0913101,0.0895874,0.0709148,0.0591590,0.0547432,0.0403696,0.0400493,0.0381562,0.0299596,0.0342555,0.0365546,0.0134902,0.0269981,0.0259598,0.0153625,0.0214235,0.0194738,0.0116645,0.0020056,0.0173726,0.0196402,0.0197480,0.0172171,0.0216425,0.0243808,0.0099341,0.0066841,0.0179715,0.0081203,0.0119700,0.0186155,0.0132581,0.0121403,0.0244156,0.0089614,0.0166606,0.0134083,0.0023643,0.0056090,0.0085661,0.0032468,0.0104266,0.0053791,0.0156174,0.0168616,0.0152588,0.0164960,0.0130178,0.0236824,0.0059253,0.0212228,0.0221096
HOXA5,0.4045435,0.4556575,0.4704327,0.5178429,0.5486664,0.5997642,0.6375289,0.6855304,0.7079818,0.7556987,0.8070761,0.8196661,0.8564278,0.8967328,0.9246497,0.9435828,0.9765161,1.0110095,1.0204433,1.0246089,1.0444794,1.0424067,1.0535109,1.0336355,1.0290789,1.0161653,1.0024964,0.9694834,0.9455254,0.9405693,0.8990037,0.8608042,0.8255935,0.7887547,0.7556312,0.7200003,0.6749924,0.6358524,0.5998112,0.5676819,0.5239625,0.4713707,0.4468265,0.4119577,0.3861953,0.3513336,0.3215377,0.2807313,0.2664673,0.2269005,0.1997530,0.1803260,0.1639662,0.1428513,0.1347079,0.1135377,0.1094483,0.0848718,0.0716315,0.0568746,0.0572085,0.0596826,0.0355468,0.0483509,0.0402506,0.0359707,0.0396992,0.0389551,0.0268366,0.0161207,0.0210760,0.0215963,0.0262040,0.0263913,0.0078999,0.0145818,0.0231587,0.0020936,0.0134624,0.0146114,0.0071550,0.0019590,0.0191103,0.0243078,0.0117632,0.0175181,0.0015755,0.0178938,0.0218303,0.0028498,0.0048446,0.0054643,0.0232959,0.0138455,0.0147074,0.0052056,0.0183645,0.0093754,0.0145271,0.0206985
HOXA7,0.0128666,0.0227944,0.0293423,0.0328860,0.0326632,0.0408079,0.0602759,0.0745039,0.1041142,0.1369130,0.1690399,0.2192688,0.2814104,0.3325694,0.4243343,0.4995369,0.5994284,0.7115422,0.8043493,0.8842116,0.9734775,1.0618161,1.1078587,1.1389788,1.1621042,1.1613795,1.1235099,1.0731154,1.0074976,0.9353768,0.8212990,0.7449156,0.6390710,0.5508579,0.4487344,0.3613253,0.2937069,0.2298780,0.1794902,0.1370103,0.1176108,0.0743169,0.0680382,0.0574349,0.0356090,0.0300512,0.0151440,0.0068596,0.0041738,0.0254243,0.0231484,0.0068535,0.0237721,0.0099629,0.0210569,0.0241543,0.0098392,0.0002403,0.0014583,0.0087088,0.0003139,0.0067554,0.0145404,0.0146639,0.0003764,0.0133268,0.0053632,0.0053779,0.0076689,0.0195061,0.0180385,0.0003153,0.0180280,0.0154772,0.0131539,0.0170253,0.0097266,0.0235930,0.0200897,0.0009360,0.0171196,0.0156318,0.0141241,0.0066661,0.0160075,0.0242580,0.0243283,0.0167013,0.0214423,0.0211754,0.0118046,0.0226460,0.0128725,0.0003861,0.0058022,0.0151041,0.0000115,0.0175370,0.0070324,0.0205820
HOXA9,0.0413370,0.0270136,0.0533213,0.0685007,0.0749415,0.0817438,0.1121781,0.1364987,0.1754918,0.1965549,0.2538860,0.2923629,0.3660557,0.4339738,0.4898615,0.5801214,0.6399850,0.7338233,0.8150758,0.8955230,0.9807061,1.0557854,1.1153719,1.1882816,1.2234692,1.2554865,1.2793502,1.2843363,1.2617191,1.2570735,1.2135564,1.1520156,1.1026101,1.0137648,0.9543407,0.8718967,0.7866693,0.7023130,0.6156211,0.5373256,0.4659804,0.3994484,0.3274593,0.2783609,0.2347218,0.2012069,0.1628451,0.1321930,0.1005040,0.0812685,0.0536062,0.0483313,0.0377879,0.0373958,0.0284374,0.0328240,0.0243980,0.0105547,0.0139443,0.0112509,0.0218928,0.0215656,0.0049890,0.0108379,0.0030233,0.0104467,0.0075935,0.0064784,0.0047608,0.0208360,0.0180130,0.0109437,0.0089247,0.0057819,0.0249343,0.0138055,0.0085239,0.0173357,0.0047216,0.0073690,0.0170002,0.0236227,0.0080013,0.0187168,0.0151736,0.0248288,0.0104927,0.0018591,0.0063349,0.0027357,0.0176581,0.0040833,0.0073007,0.0213103,0.0171040,0.0240458,0.0120966,0.0128222,0.0044454,0.0087241
HOXA10,0.0275726,0.0295394,0.0365866,0.0449037,0.0551979,0.0566414,0.0770178,0.0943617,0.1134835,0.1179316,0.1504349,0.1671211,0.1727800,0.1937098,0.2239206,0.2583995,0.2828620,0.3163404,0.3472257,0.3752508,0.3963578,0.4181293,0.4669590,0.4781256,0.5002398,0.5331935,0.5346303,0.5499553,0.5594020,0.5667882,0.5721621,0.5569213,0.5504692,0.5240170,0.5226909,0.5093234,0.4792788,0.4520208,0.4217376,0.4020780,0.3717295,0.3352184,0.3174093,0.2739071,0.2508225,0.2149300,0.2083577,0.1876221,0.1484381,0.1445211,0.1171229,0.1066405,0.0756600,0.0828311,0.0683676,0.0548584,0.0363617,0.0516301,0.0337952,0.0205571,0.0272999,0.0257718,0.0159961,0.0241803,0.0112248,0.0280933,0.0139563,0.0192344,0.0152833,0.0164525,0.0156219,0.0011310,0.0234339,0.0013139,0.0201561,0.0021877,0.0042952,0.0038214,0.0241036,0.0142434,0.0123115,0.0180346,0.0181626,0.0018340,0.0151350,0.0237552,0.0039444,0.0211501,0.0082653,0.0151543,0.0235056,0.0195308,0.0044664,0.0039385,0.0160229,0.0136965,0.0030049,0.0170239,0.0020628,0.0151083
HOXA11,0.0447175,0.0561281,0.0735427,0.0844057,0.1003098,0.0914119,0.1266535,0.1257305,0.1472137,0.1756087,0.1983756,0.2014226,0.2265315,0.2497759,0.2789756,0.3020384,0.3309679,0.3578534,0.3931805,0.4320096,0.4638152,0.5008481,0.5263281,0.5340024,0.5728755,0.6014040,0.6204215,0.6336707,0.6478141,0.6705234,0.6684053,0.6742374,0.6744032,0.6712601,0.6712081,0.6639181,0.6655124,0.6273272,0.6309930,0.6013232,0.5747683,0.5510014,0.5246970,0.4964971,0.4596445,0.4236490,0.4132801,0.3651945,0.3502426,0.3091476,0.2814610,0.2588829,0.2253093,0.2109911,0.1805000,0.1772937,0.1487830,0.1284493,0.1056256,0.1085525,0.0917466,0.0670609,0.0631520,0.0568058,0.0538603,0.0555810,0.0447933,0.0414001,0.0213439,0.0242502,0.0325974,0.0183269,0.0203121,0.0092443,0.0131139,0.0182348,0.0249520,0.0150041,0.0168655,0.0253365,0.0233585,0.0160441,0.0084193,0.0037644,0.0134011,0.0158506,0.0158546,0.0129282,0.0010138,0.0005374,0.0014934,0.0246723,0.0166916,0.0095504,0.0068307,0.0233963,0.0081062,0.0131245,0.0130807,0.0029159
HOXA13,0.0858894,0.0871772,0.1075519,0.1185695,0.1145323,0.1404747,0.1507498,0.1694645,0.1826348,0.2078873,0.2424248,0.2499540,0.2873709,0.3069904,0.3496733,0.3682979,0.3878897,0.4305386,0.4469370,0.4875830,0.5262208,0.5462538,0.5901197,0.5966415,0.6380946,0.6563163,0.6957631,0.7167968,0.7374475,0.7506709,0.7638871,0.7743421,0.7902658,0.8035443,0.8067894,0.7968217,0.8002420,0.8024557,0.7916689,0.7641656,0.7498668,0.7489190,0.7260543,0.6910292,0.6828967,0.6467525,0.6129690,0.5946438,0.5553973,0.5287731,0.4972318,0.4608578,0.4309515,0.4009849,0.3896152,0.3570091,0.3297339,0.3014573,0.2748275,0.2482889,0.2348109,0.2091049,0.1848671,0.1751732,0.1532138,0.1235587,0.1047874,0.1075816,0.0947163,0.0728370,0.0764054,0.0759839,0.0492054,0.0603998,0.0470085,0.0405800,0.0310558,0.0198566,0.0366000,0.0381365,0.0181509,0.0239843,0.0271860,0.0166210,0.0228915,0.0069419,0.0043249,0.0135641,0.0219453,0.0090298,0.0056278,0.0060295,0.0015592,0.0050886,0.0129137,0.0095402,0.0009608,0.0095297,0.0196479,0.0212698
