display_order,cluster,author_label,model_label,annotation_match_score,malignancy,positive_q25,positive_median,positive_q75,negative_q25,negative_median,negative_q75,score_origin
1,5,AC-like,proneural,1.0,Malignant cells,0.2867726617755012,0.30540964649857727,0.32,0.0019287549838145276,0.0360435006800822,0.07015824637634988,deterministic virtual construction; not author UCell values
2,20,MES-like,radial glial cell,1.0,Malignant cells,0.21335437001337884,0.23301324094179837,0.2526721118702179,0,0.03892823056228857,0.07950867824478076,deterministic virtual construction; not author UCell values
3,7,AC-like,astrocyte,0.5,Malignant cells,0.1995559345319614,0.2091600845848118,0.2187642346376622,0.07010254052663664,0.10922864918963131,0.14835475785262597,deterministic virtual construction; not author UCell values
4,4,AC-like,astrocyte-like cell,1.0,Malignant cells,0.2202680888985454,0.2356803441075252,0.251092599316505,0.051326167629298966,0.07410097452251908,0.0968757814157392,deterministic virtual construction; not author UCell values
5,22,NPC-like,newly formed oligodendrocyte,1.0,Malignant cells,0.1898407451041611,0.2015856821874026,0.21333061927064412,0.0008203965065732323,0.02949019081063115,0.05815998511468906,deterministic virtual construction; not author UCell values
6,3,MES-like,mesenchymal glioblastoma multiforme,1.0,Malignant cells,0.24592943026998626,0.2560213285061422,0.2661132267422981,0.07848602980831429,0.09584344650239926,0.11320086319648423,deterministic virtual construction; not author UCell values
7,13,AC-like,radial glial cell,0.5,Malignant cells,0.21535653832851634,0.2258877991832073,0.23641906003789828,0.05447212667083272,0.08844134695895474,0.12241056724707676,deterministic virtual construction; not author UCell values
8,10,OPC-like,oligodendrocyte precursor-like cell,1.0,Malignant cells,0.20498539771452023,0.21886413973880256,0.23274288176308489,0.03355438744584892,0.06897980752366464,0.10440522760148037,deterministic virtual construction; not author UCell values
9,17,MES-like,mesenchymal glioblastoma multiforme,1.0,Malignant cells,0.27524087335131975,0.2836744831879552,0.2921080930245906,0.037151772569917446,0.07650033077873701,0.11584888898755658,deterministic virtual construction; not author UCell values
10,18,NPC-like,glioblastoma stem cell,0.5,Malignant cells,0.22231861815676235,0.23349115167120948,0.24466368518565662,0.11853146848641098,0.13728590305965052,0.15604033763289005,deterministic virtual construction; not author UCell values
11,21,NPC-like,glioblastoma stem cell,0.5,Malignant cells,0.22082309116845925,0.23362905483243337,0.2464350184964075,0.04963256435812266,0.06787649349537164,0.08612042263262062,deterministic virtual construction; not author UCell values
12,12,NPC-like,neural progenitor cell,1.0,Malignant cells,0.19167172067027724,0.21107757327352475,0.23048342587677226,0.06655751118902209,0.09830921530252108,0.13006091941602008,deterministic virtual construction; not author UCell values
13,8,Oligodendrocyte,oligodendrocyte,1.0,Non-malignant cells,0.024084279897355176,0.04439181079129572,0.06469934168523626,0.7125396276493341,0.7390999267326854,0.7656602258160368,deterministic virtual construction; not author UCell values
14,19,TAM-MG,macrophage,0.5,Non-malignant cells,0.07029236735333833,0.08445337569278473,0.09861438403223113,0.47758476410506445,0.5100905153271844,0.5425962665493044,deterministic virtual construction; not author UCell values
15,26,Mural cell,pericyte,1.0,Non-malignant cells,0.0894498790869757,0.10807721213889587,0.12670454519081603,0.6223221788579599,0.6394501634782177,0.6565781480984755,deterministic virtual construction; not author UCell values
16,28,Endothelial,endothelial cell,1.0,Non-malignant cells,0.08484295218460612,0.09470930331058718,0.10457565443656823,0.7354240164450049,0.753988881553453,0.7725537466619011,deterministic virtual construction; not author UCell values
17,29,RG,neuron,1.0,Non-malignant cells,0,0.001334454802968963,0.012240657048935268,0.5651259137731894,0.5899577356942872,0.614789557615385,deterministic virtual construction; not author UCell values
18,23,DC,cDC2,1.0,Non-malignant cells,0.04088684886743864,0.04941940767712916,0.057951966486819675,0.37518518962235875,0.4165665054900314,0.457947821357704,deterministic virtual construction; not author UCell values
19,27,Oligodendrocyte,oligodendrocyte,1.0,Non-malignant cells,0.056232243397853654,0.07799335079359405,0.09975445818933446,0.6001670792659793,0.6199385044386738,0.6397099296113683,deterministic virtual construction; not author UCell values
20,30,DC,B cell,0.0,Non-malignant cells,0.04083724397394256,0.055832961598083826,0.07082867922222509,0.521453251827525,0.5404768855680142,0.5595005193085034,deterministic virtual construction; not author UCell values
21,31,TAM-BDM,microglial cell,1.0,Non-malignant cells,0,0.01087158693905353,0.023915824225159255,0.39573442149501004,0.40947156260559264,0.42320870371617525,deterministic virtual construction; not author UCell values
22,14,TAM-BDM,macrophage,0.5,Non-malignant cells,0.03312319631326732,0.04143931559471246,0.04975543487615759,0.5077354671145553,0.5255170951421727,0.5432987231697901,deterministic virtual construction; not author UCell values
23,0,TAM-MG,microglial cell,0.5,Non-malignant cells,0.07882615999921104,0.10123167512640882,0.1236371902536066,0.48101803134565485,0.5104498926198737,0.5398817538940925,deterministic virtual construction; not author UCell values
24,34,Mural cell,pericyte,1.0,Non-malignant cells,0.08810054381060717,0.10621837675285709,0.124336209695107,0.6966292143227784,0.714322407886562,0.7320156014503456,deterministic virtual construction; not author UCell values
25,33,CD4/CD8,vascular cell,0.0,Non-malignant cells,0.035246352013075175,0.053021807724970865,0.07079726343686656,0.5103198115229459,0.5264434665458677,0.5425671215687895,deterministic virtual construction; not author UCell values
26,9,TAM-MG,tumor-associated macrophage,0.5,Non-malignant cells,0.09550780385399839,0.11121662538221111,0.12692544691042384,0.3592745087019295,0.3997005937659868,0.44012667883004414,deterministic virtual construction; not author UCell values
27,1,TAM-BDM,macrophage,0.5,Non-malignant cells,0.0299674675302976,0.045662325928981846,0.0613571843276661,0.40605048020152656,0.43017819788544076,0.45430591556935496,deterministic virtual construction; not author UCell values
28,32,CD4/CD8,Unknown,0.0,Non-malignant cells,0.10120274583733169,0.1119855261611126,0.12276830648489351,0.5394839511747872,0.5535804942555996,0.5676770373364121,deterministic virtual construction; not author UCell values
29,15,Mono,classical monocyte,1.0,Non-malignant cells,0.004699915562146065,0.027099300076567266,0.04949868459098847,0.4637205063162895,0.4845482529706801,0.5053759996250706,deterministic virtual construction; not author UCell values
30,24,TAM-MG,microglia/macrophage,0.5,Non-malignant cells,0.0752579228082001,0.08574508585089416,0.09623224889358822,0.5001203981507477,0.5394489964400137,0.5787775947292796,deterministic virtual construction; not author UCell values
31,16,TAM-BDM,macrophage,0.5,Non-malignant cells,0.09820565441031817,0.10815683185212979,0.11810800929394141,0.33045028324347897,0.3457485941921629,0.36104690514084686,deterministic virtual construction; not author UCell values
32,6,CD4/CD8,"CD8-positive, alpha-beta cytotoxic T cell",1.0,Non-malignant cells,0.06390937833024402,0.07686378354081037,0.08981818875137673,0.4816566684384432,0.5043336702562911,0.5270106720741389,deterministic virtual construction; not author UCell values
33,25,CD4/CD8,cytotoxic T cell,1.0,Non-malignant cells,0,0.01634454964625304,0.03327340197147417,0.7567182812419674,0.7776125328349092,0.798506784427851,deterministic virtual construction; not author UCell values
34,11,CD4/CD8,tissue-resident memory T cells (T_rm),1.0,Non-malignant cells,0.037706309773457986,0.05856871872877448,0.07943112768409097,0.3435094298794409,0.3738480811468653,0.4041867324142897,deterministic virtual construction; not author UCell values
35,2,CD4/CD8,tissue-resident memory T cells (T_rm),1.0,Non-malignant cells,0.01382539350553005,0.02438285105081437,0.03494030859609869,0.38359142452501244,0.4222424315290518,0.4608934385330911,deterministic virtual construction; not author UCell values
