avg.exp,pct.exp,features.plot,id,avg.exp.scaled
1.9452,57.41,Itgax,Cycling (S),0.5779
1.3631,68.96,Itgax,Cycling (G2M+S),0.2690
3.0858,52.08,Itgax,Cycling (G2M) cDC1,0.9787
2.2716,58.04,Itgax,CD207hi Nur77-,0.7127
2.3042,52.74,Itgax,CD207lo Nur77+,0.7251
3.1682,60.15,Itgax,Ly6D+ cDC,1.0016
2.4605,54.15,Itgax,EpCAM+,0.7820
2.6456,48.86,Itgax,tDC2,0.8451
2.2053,60.48,Itgax,Cycling (G2M) cDC2,0.6869
0.4283,0.00,Itgax,aDC1,-0.7365
0.3830,16.57,Itgax,aDC2,-0.8336
2.3307,53.51,Flt3,Cycling (S),0.7350
3.0893,73.25,Flt3,Cycling (G2M+S),0.9797
1.9960,68.48,Flt3,Cycling (G2M) cDC1,0.6003
1.6897,56.75,Flt3,CD207hi Nur77-,0.4556
1.7229,68.51,Flt3,CD207lo Nur77+,0.4725
3.2866,66.38,Flt3,Ly6D+ cDC,1.0335
1.8881,61.85,Flt3,EpCAM+,0.5521
2.1249,50.43,Flt3,tDC2,0.6547
2.9574,63.77,Flt3,Cycling (G2M) cDC2,0.9418
0.4771,3.72,Flt3,aDC1,-0.6428
0.3423,24.44,Flt3,aDC2,-0.9312
8.5734,85.20,Xcr1,Cycling (S),1.8663
11.2202,69.84,Xcr1,Cycling (G2M+S),2.1000
11.2202,100.00,Xcr1,Cycling (G2M) cDC1,2.1000
11.2202,86.27,Xcr1,CD207hi Nur77-,2.1000
5.7156,87.94,Xcr1,CD207lo Nur77+,1.5141
0.3873,9.78,Xcr1,Ly6D+ cDC,-0.8240
0.4068,12.84,Xcr1,EpCAM+,-0.7813
0.6766,4.44,Xcr1,tDC2,-0.3393
0.3251,0.00,Xcr1,Cycling (G2M) cDC2,-0.9759
0.3269,0.00,Xcr1,aDC1,-0.9711
0.3328,22.93,Xcr1,aDC2,-0.9556
5.8470,80.57,Irf8,Cycling (S),1.5339
4.7823,79.70,Irf8,Cycling (G2M+S),1.3593
4.0392,71.01,Irf8,Cycling (G2M) cDC1,1.2126
11.2202,72.17,Irf8,CD207hi Nur77-,2.1000
10.1577,82.55,Irf8,CD207lo Nur77+,2.0136
0.4252,3.48,Irf8,Ly6D+ cDC,-0.7428
0.6763,8.23,Irf8,EpCAM+,-0.3397
0.7309,2.81,Irf8,tDC2,-0.2723
0.4550,14.65,Irf8,Cycling (G2M) cDC2,-0.6839
0.5038,0.00,Irf8,aDC1,-0.5955
0.3606,8.04,Irf8,aDC2,-0.8859
5.3763,84.77,Cd36,Cycling (S),1.4610
8.5570,58.43,Cd36,Cycling (G2M+S),1.8646
3.9561,65.18,Cd36,Cycling (G2M) cDC1,1.1945
7.3522,98.33,Cd36,CD207hi Nur77-,1.7328
6.2585,80.51,Cd36,CD207lo Nur77+,1.5929
0.3171,0.00,Cd36,Ly6D+ cDC,-0.9977
0.2377,9.72,Cd36,EpCAM+,-1.2480
0.6062,6.43,Cd36,tDC2,-0.4348
0.7007,11.98,Cd36,Cycling (G2M) cDC2,-0.3090
0.4415,15.17,Cd36,aDC1,-0.7102
0.5227,21.48,Cd36,aDC2,-0.5635
5.4667,55.12,Cd207,Cycling (S),1.4755
7.3462,71.88,Cd207,Cycling (G2M+S),1.7321
7.0177,94.64,Cd207,Cycling (G2M) cDC1,1.6924
4.9614,85.65,Cd207,CD207hi Nur77-,1.3912
9.6033,82.61,Cd207,CD207lo Nur77+,1.9648
0.6406,5.42,Cd207,Ly6D+ cDC,-0.3868
0.3586,20.39,Cd207,EpCAM+,-0.8908
0.5634,23.90,Cd207,tDC2,-0.4983
0.4783,26.24,Cd207,Cycling (G2M) cDC2,-0.6406
0.4079,0.00,Cd207,aDC1,-0.7790
0.2316,0.00,Cd207,aDC2,-1.2704
9.2170,63.35,Nr4a1,Cycling (S),1.9292
6.1188,99.07,Nr4a1,Cycling (G2M+S),1.5733
9.3015,95.91,Nr4a1,Cycling (G2M) cDC1,1.9371
5.1426,53.40,Nr4a1,CD207hi Nur77-,1.4224
11.2202,63.83,Nr4a1,CD207lo Nur77+,2.1000
0.4600,12.17,Nr4a1,Ly6D+ cDC,-0.6745
0.3290,25.53,Nr4a1,EpCAM+,-0.9657
0.7360,15.51,Nr4a1,tDC2,-0.2662
0.4425,11.91,Nr4a1,Cycling (G2M) cDC2,-0.7083
0.3137,7.61,Nr4a1,aDC1,-1.0069
0.4318,1.48,Nr4a1,aDC2,-0.7294
0.5873,0.00,Ly6D,Cycling (S),-0.4622
0.3859,0.00,Ly6D,Cycling (G2M+S),-0.8270
0.5243,17.43,Ly6D,Cycling (G2M) cDC1,-0.5609
0.5457,39.18,Ly6D,CD207hi Nur77-,-0.5260
0.6047,0.58,Ly6D,CD207lo Nur77+,-0.4369
1.0541,0.80,Ly6D,Ly6D+ cDC,0.0458
0.5760,17.43,Ly6D,EpCAM+,-0.4792
0.3364,23.95,Ly6D,tDC2,-0.9463
0.5008,15.71,Ly6D,Cycling (G2M) cDC2,-0.6007
0.3593,23.03,Ly6D,aDC1,-0.8892
0.3384,0.00,Ly6D,aDC2,-0.9411
0.7072,5.73,Sirpa,Cycling (S),-0.3010
0.4530,29.23,Sirpa,Cycling (G2M+S),-0.6879
0.6443,16.33,Sirpa,Cycling (G2M) cDC1,-0.3818
0.6306,2.72,Sirpa,CD207hi Nur77-,-0.4004
0.5694,21.10,Sirpa,CD207lo Nur77+,-0.4891
0.5698,7.96,Sirpa,Ly6D+ cDC,-0.4885
2.1153,83.57,Sirpa,EpCAM+,0.6507
7.3465,74.30,Sirpa,tDC2,1.7322
9.0977,80.66,Sirpa,Cycling (G2M) cDC2,1.9179
0.4770,0.00,Sirpa,aDC1,-0.6429
0.2791,13.71,Sirpa,aDC2,-1.1086
0.4578,11.39,Irf4,Cycling (S),-0.6787
0.4713,14.11,Irf4,Cycling (G2M+S),-0.6534
0.4519,11.58,Irf4,Cycling (G2M) cDC1,-0.6899
0.4851,19.29,Irf4,CD207hi Nur77-,-0.6283
0.3784,17.86,Irf4,CD207lo Nur77+,-0.8441
0.5484,11.05,Irf4,Ly6D+ cDC,-0.5218
6.0741,81.69,Irf4,EpCAM+,1.5670
9.3531,67.25,Irf4,tDC2,1.9419
7.2227,78.65,Irf4,Cycling (G2M) cDC2,1.7174
0.3609,3.81,Irf4,aDC1,-0.8851
0.2709,0.00,Irf4,aDC2,-1.1343
0.2721,3.83,Tcf4,Cycling (S),-1.1305
0.3729,4.59,Tcf4,Cycling (G2M+S),-0.8568
0.5036,8.12,Tcf4,Cycling (G2M) cDC1,-0.5959
0.3531,2.78,Tcf4,CD207hi Nur77-,-0.9041
0.3102,8.04,Tcf4,CD207lo Nur77+,-1.0168
0.4169,26.23,Tcf4,Ly6D+ cDC,-0.7599
11.2202,92.78,Tcf4,EpCAM+,2.1000
11.2202,65.83,Tcf4,tDC2,2.1000
8.7946,85.61,Tcf4,Cycling (G2M) cDC2,1.8884
0.5208,31.27,Tcf4,aDC1,-0.5667
1.0123,19.79,Tcf4,aDC2,0.0106
0.5514,0.00,Cd209a,Cycling (S),-0.5171
0.3113,17.00,Cd209a,Cycling (G2M+S),-1.0137
0.4359,0.00,Cd209a,Cycling (G2M) cDC1,-0.7212
0.4292,13.60,Cd209a,CD207hi Nur77-,-0.7347
0.6040,8.92,Cd209a,CD207lo Nur77+,-0.4379
0.4096,10.06,Cd209a,Ly6D+ cDC,-0.7754
7.4854,66.37,Cd209a,EpCAM+,1.7484
9.2611,99.90,Cd209a,tDC2,1.9333
9.2042,63.52,Cd209a,Cycling (G2M) cDC2,1.9280
0.4605,0.00,Cd209a,aDC1,-0.6735
0.2477,16.59,Cd209a,aDC2,-1.2122
0.4580,3.13,Mgl2,Cycling (S),-0.6783
0.2279,0.00,Mgl2,Cycling (G2M+S),-1.2845
0.4707,10.32,Mgl2,Cycling (G2M) cDC1,-0.6546
0.5579,25.23,Mgl2,CD207hi Nur77-,-0.5069
0.4004,14.69,Mgl2,CD207lo Nur77+,-0.7950
0.4273,5.03,Mgl2,Ly6D+ cDC,-0.7386
6.5423,87.61,Mgl2,EpCAM+,1.6315
5.0818,89.41,Mgl2,tDC2,1.4120
11.2202,78.36,Mgl2,Cycling (G2M) cDC2,2.1000
0.4849,0.00,Mgl2,aDC1,-0.6286
0.9560,19.79,Mgl2,aDC2,-0.0391
0.4722,10.57,Ccr2,Cycling (S),-0.6518
0.5166,3.49,Ccr2,Cycling (G2M+S),-0.5737
0.4894,0.76,Ccr2,Cycling (G2M) cDC1,-0.6207
0.5244,3.22,Ccr2,CD207hi Nur77-,-0.5608
0.5962,8.80,Ccr2,CD207lo Nur77+,-0.4493
0.4871,39.61,Ccr2,Ly6D+ cDC,-0.6248
9.1747,80.68,Ccr2,EpCAM+,1.9252
7.1815,67.61,Ccr2,tDC2,1.7124
10.0413,94.02,Ccr2,Cycling (G2M) cDC2,2.0036
0.4560,26.77,Ccr2,aDC1,-0.6820
0.4308,0.00,Ccr2,aDC2,-0.7314
0.3619,0.00,Epcam,Cycling (S),-0.8829
0.4089,16.27,Epcam,Cycling (G2M+S),-0.7769
0.3311,9.20,Epcam,Cycling (G2M) cDC1,-0.9601
0.4763,2.67,Epcam,CD207hi Nur77-,-0.6442
0.3332,10.87,Epcam,CD207lo Nur77+,-0.9546
0.5917,3.97,Epcam,Ly6D+ cDC,-0.4557
5.5565,76.59,Epcam,EpCAM+,1.4896
7.7731,72.57,Epcam,tDC2,1.7812
6.3565,75.69,Epcam,Cycling (G2M) cDC2,1.6064
0.3148,8.22,Epcam,aDC1,-1.0040
0.3729,25.83,Epcam,aDC2,-0.8568
0.3781,14.57,Ccl17,Cycling (S),-0.8449
0.5048,0.00,Ccl17,Cycling (G2M+S),-0.5937
0.2986,5.55,Ccl17,Cycling (G2M) cDC1,-1.0497
0.5530,4.27,Ccl17,CD207hi Nur77-,-0.5145
0.3615,0.00,Ccl17,CD207lo Nur77+,-0.8837
0.3930,13.12,Ccl17,Ly6D+ cDC,-0.8111
8.1706,82.29,Ccl17,EpCAM+,1.8245
6.3694,75.73,Ccl17,tDC2,1.6082
9.2580,76.64,Ccl17,Cycling (G2M) cDC2,1.9330
0.2126,20.20,Ccl17,aDC1,-1.3449
0.3156,23.75,Ccl17,aDC2,-1.0018
0.7712,17.62,Cd14,Cycling (S),-0.2256
0.5978,28.58,Cd14,Cycling (G2M+S),-0.4468
0.3131,12.54,Cd14,Cycling (G2M) cDC1,-1.0086
0.4825,0.33,Cd14,CD207hi Nur77-,-0.6331
0.8544,4.19,Cd14,CD207lo Nur77+,-0.1367
0.3529,12.68,Cd14,Ly6D+ cDC,-0.9047
9.8709,71.99,Cd14,EpCAM+,1.9887
5.8353,83.04,Cd14,tDC2,1.5321
4.4711,70.27,Cd14,Cycling (G2M) cDC2,1.3008
0.3409,5.66,Cd14,aDC1,-0.9347
0.4267,28.44,Cd14,aDC2,-0.7398
0.5985,10.22,Cx3cr1,Cycling (S),-0.4459
0.4155,18.74,Cx3cr1,Cycling (G2M+S),-0.7629
0.5128,18.91,Cx3cr1,Cycling (G2M) cDC1,-0.5800
0.6972,0.00,Cx3cr1,CD207hi Nur77-,-0.3133
0.2161,9.78,Cx3cr1,CD207lo Nur77+,-1.3308
0.4583,12.87,Cx3cr1,Ly6D+ cDC,-0.6778
5.8367,75.67,Cx3cr1,EpCAM+,1.5323
8.4766,84.13,Cx3cr1,tDC2,1.8564
10.8727,56.34,Cx3cr1,Cycling (G2M) cDC2,2.0727
0.2625,24.62,Cx3cr1,aDC1,-1.1616
0.5434,17.93,Cx3cr1,aDC2,-0.5297
0.4075,5.26,Ccr7,Cycling (S),-0.7798
0.4764,0.60,Ccr7,Cycling (G2M+S),-0.6441
0.2728,0.00,Ccr7,Cycling (G2M) cDC1,-1.1284
0.4638,16.37,Ccr7,CD207hi Nur77-,-0.6674
0.7606,13.72,Ccr7,CD207lo Nur77+,-0.2376
0.5202,26.88,Ccr7,Ly6D+ cDC,-0.5677
0.3478,0.41,Ccr7,EpCAM+,-0.9175
0.3756,9.04,Ccr7,tDC2,-0.8506
0.8575,6.51,Ccr7,Cycling (G2M) cDC2,-0.1335
10.7894,73.27,Ccr7,aDC1,2.0660
8.2947,84.81,Ccr7,aDC2,1.8376
0.5304,17.51,Cd63,Cycling (S),-0.5508
0.3577,24.56,Cd63,Cycling (G2M+S),-0.8929
0.6128,2.98,Cd63,Cycling (G2M) cDC1,-0.4253
0.5258,0.00,Cd63,CD207hi Nur77-,-0.5584
0.4606,0.00,Cd63,CD207lo Nur77+,-0.6734
0.5631,39.64,Cd63,Ly6D+ cDC,-0.4989
0.7177,17.31,Cd63,EpCAM+,-0.2882
0.3339,13.80,Cd63,tDC2,-0.9528
0.6544,9.12,Cd63,Cycling (G2M) cDC2,-0.3683
7.3807,61.06,Cd63,aDC1,1.7362
5.3733,59.52,Cd63,aDC2,1.4605
