Env_01,Env_02,Env_03,Env_04,Env_05,Env_06,Env_07,Env_08,Env_09,Env_10,Env_11,Env_12,Env_13,Env_14
7.32555,11.57722,10.83243,7.99512,11.19643,10.81050,10.75070,11.58638,10.82581,8.47097,11.46508,12.23463,8.14979,11.37587
6.90302,9.29733,9.27262,10.88623,8.79926,5.46672,8.62941,6.26748,5.20186,6.05005,6.97793,6.97205,5.95630,8.25566
5.27505,5.56949,8.63842,7.17621,5.50365,5.63213,6.40094,7.29433,4.95322,7.08957,6.51314,5.83047,4.75178,0.00000
4.20615,4.94409,4.70787,1.50712,4.18004,5.87655,6.36992,7.44003,2.26414,5.11977,8.46545,8.52712,3.91022,6.59807
3.93578,4.60465,3.16502,4.77164,2.36036,3.57982,2.95580,2.44316,0.69208,2.15752,7.34917,6.75946,2.15241,4.11645
3.05265,5.72125,7.10756,10.03425,0.72823,5.49013,7.60822,8.97452,3.97391,5.55675,7.49549,6.54560,1.77372,5.15380
8.88890,9.68843,12.72542,8.80385,8.67448,10.51035,12.61142,13.02671,10.46550,9.91463,9.71911,12.34290,7.51012,8.55832
8.30611,5.93412,3.85288,10.34099,2.66990,7.86285,5.70125,7.88514,5.83293,5.29254,6.91917,9.29203,5.65051,9.48747
10.80076,9.98605,14.04516,12.39832,9.19059,12.54941,9.97011,13.22325,9.29040,7.44847,13.92975,11.72224,9.45387,10.74125
1.96290,5.24007,7.73915,6.62547,3.19626,3.98182,8.53086,4.87343,4.22507,4.24926,6.86907,8.63016,2.52243,4.31775
2.80959,3.83180,4.59293,4.45085,0.99113,4.91197,6.92497,5.06101,0.99882,3.25108,1.56274,5.79394,1.42786,4.27507
3.49910,4.44944,7.41913,8.57957,3.34510,5.40044,10.71507,4.89747,5.78964,8.10252,5.72867,10.24822,5.46156,4.41080
4.43614,4.17834,4.33230,9.19117,2.23499,2.94426,3.75878,5.72581,3.80394,2.14784,6.04616,8.45029,0.38403,1.30206
8.82482,6.60869,8.70855,11.22685,3.65579,7.18242,7.77151,9.87513,6.52156,6.58877,6.41861,10.26548,7.12205,6.21553
1.85805,3.19491,4.23458,5.81813,0.21643,4.63817,5.66481,8.04779,4.11280,5.55209,6.70278,5.58128,3.80600,4.02861
8.07611,8.42302,4.46665,7.76736,5.37571,5.69040,7.65661,8.94321,5.93169,7.00626,8.91663,8.99650,3.28315,7.76656
8.38372,9.46659,8.40544,10.67765,5.47482,6.34217,9.94556,10.96797,5.93841,6.72549,9.29645,10.69166,8.32085,8.89281
4.20003,2.11024,6.47854,7.54100,4.48035,5.83029,7.94335,9.34233,3.41285,4.81897,2.51683,6.84930,4.63004,4.24855
7.96169,9.21962,10.89894,11.76576,6.98207,9.63652,12.37159,12.71027,9.62323,11.64187,12.10133,14.96333,10.61436,10.17595
6.78856,5.89085,10.08064,8.03000,8.32289,7.73832,5.18400,7.51223,4.57624,5.14422,11.10760,9.67482,7.70206,8.37075
8.42552,8.15301,9.86358,8.05494,7.76418,7.49501,11.42298,11.38590,8.68979,8.83648,8.97311,12.34317,9.83888,8.57247
4.22373,2.57988,7.01449,6.20188,3.79863,4.93925,6.98860,6.22136,5.29197,6.89276,6.46884,6.53741,4.69993,7.48887
4.03109,6.79220,6.74324,11.58207,2.65171,8.08002,4.50605,7.91539,5.96056,7.50741,6.95772,9.29812,4.19711,5.39355
9.20319,8.64727,10.58656,12.74451,9.76662,7.86143,11.80400,11.77690,6.22443,10.99690,10.58631,12.00989,8.69141,10.55190
