Feature_01,Feature_02,Feature_03,Feature_04,Feature_05,Feature_06,Feature_07,Feature_08,Feature_09,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44
19.98523,35.66499,37.03831,45.15077,48.61602,38.93064,31.84583,37.91256,35.93041,38.92804,33.22410,31.59533,38.11442,40.26273,44.13728,37.84407,26.98656,36.44295,34.45784,40.49603,31.71797,31.20444,35.31049,43.36016,37.69994,41.27456,31.94643,29.58714,38.51635,35.54522,33.95405,45.92448,35.44166,33.74200,36.04366,27.85743,33.05169,34.07821,37.79703,37.43781,31.55050,27.02344,41.14646,38.92844
27.91900,35.94141,35.70381,31.27372,37.36820,26.33139,24.70443,33.70350,30.31049,31.93719,16.92515,29.53607,30.93902,23.95963,27.07417,24.22626,28.10415,22.92748,32.01175,28.50890,15.72320,21.34710,24.12522,32.72956,31.53880,25.47905,35.87266,31.80950,41.18657,30.13608,29.01680,26.30479,24.29750,30.41018,26.41790,27.08644,23.11489,26.85200,35.94131,31.44396,21.03432,28.23143,31.17202,31.35274
25.81354,25.06792,25.27947,24.63587,23.53022,14.67872,18.61984,20.62583,27.26910,22.33604,9.92943,18.62860,14.71144,33.74271,21.62809,8.95301,19.13662,19.33294,25.19048,28.37028,16.37715,21.86830,17.27284,17.69290,32.22066,23.49260,22.48753,25.08334,29.58177,29.20970,17.52954,28.50374,35.02276,22.48938,28.02684,12.75674,15.28101,20.87885,30.55758,22.34441,11.04281,12.53647,28.22346,18.55695
25.05867,14.55545,14.28458,23.83478,31.96963,13.57010,14.70912,16.75191,23.73460,18.52364,17.19636,15.16464,18.98415,21.49581,23.58959,11.21136,19.17462,23.68065,26.12779,17.78184,9.50028,25.74026,18.94231,16.73518,22.58340,9.77593,16.94610,24.56219,20.81331,25.76172,16.95936,19.75647,13.58478,26.87018,26.74081,17.11130,20.88685,26.94286,21.56246,25.09650,18.91763,22.21897,12.35673,26.15891
18.69692,17.94365,26.46068,18.69187,18.49566,8.55650,13.94798,9.75080,19.28323,18.90117,3.05220,13.76552,8.91337,24.94561,10.51009,12.20443,13.43337,13.57014,21.11865,19.46093,11.73035,11.78768,8.50925,19.58318,26.50518,12.68446,10.45763,10.44097,14.55859,19.54928,6.24935,5.92362,13.25206,24.02288,20.37640,13.75175,3.27934,18.60733,16.39014,21.64165,13.28392,10.48420,22.29637,24.34651
16.59007,11.76273,20.08053,19.21083,25.76016,13.94017,16.26429,27.84725,26.23835,24.97714,8.14388,19.32361,16.27986,24.24538,23.70333,23.78733,22.01331,23.55879,26.01122,24.53549,23.88952,17.39103,17.85147,23.10329,21.59706,23.71050,18.93300,22.87377,20.30191,24.21057,18.88126,15.67808,25.63587,23.53527,26.66982,17.69557,7.10288,21.60465,23.82367,31.33414,21.95272,19.45890,20.29929,24.94303
30.51982,34.96967,30.07480,46.68595,44.71777,31.40761,37.73319,39.17648,52.44396,34.25566,35.10364,40.19349,35.63582,34.92487,36.16891,26.75370,37.53178,40.96902,46.00725,39.14604,42.74544,38.61253,40.15289,42.34177,44.80020,27.64161,39.32378,37.05693,34.29457,37.47284,29.24500,38.55218,39.95853,37.72372,39.32273,19.55059,34.20764,34.73168,37.26763,47.49310,31.39267,32.15117,34.95666,37.28301
19.90857,25.87976,26.77529,28.31430,26.14899,18.53923,21.78939,27.89607,28.09941,36.15610,13.45127,22.07207,21.63840,26.78617,23.09310,26.11367,27.09943,17.98169,22.86759,31.28973,8.16241,24.14154,34.32082,20.01379,31.97565,27.88648,22.46140,24.59403,37.19636,34.16377,32.11391,18.47537,24.22967,30.53462,27.06088,18.56620,18.22085,20.78685,30.44926,27.58266,20.61650,26.22517,29.57722,34.50067
40.61614,37.33888,33.59942,40.82634,41.84206,32.52115,37.83132,36.88264,46.69151,44.10171,43.60096,39.33539,32.65172,42.97327,40.29094,37.60315,40.60376,43.54467,46.81582,36.54507,38.27009,41.38276,35.94608,36.15281,47.80109,33.87743,38.89207,39.51054,45.51060,46.03802,40.20522,42.86997,37.05605,35.24605,50.09540,38.86722,42.36688,37.66702,42.83510,43.54616,34.79946,28.97597,33.17202,36.01090
6.06295,14.00033,12.91340,20.58803,22.86863,10.90725,17.21808,18.06653,18.94686,20.25633,10.22261,12.98151,22.43040,19.54100,18.61711,10.30371,11.22126,15.81603,13.59762,21.28309,11.74001,16.66898,2.98486,24.01797,24.01711,8.33078,10.09036,20.74543,17.24345,19.70587,11.52937,13.44996,19.30095,19.58349,24.93418,17.06329,7.65434,8.28191,17.50544,20.01684,13.49169,16.83851,11.28966,22.02688
4.69473,0.72738,14.60138,9.86152,20.19427,6.45974,8.40650,10.71967,15.29719,10.47250,9.04142,12.10396,13.85331,16.71997,18.73681,8.95976,10.64709,7.95911,8.67822,17.79492,8.08403,10.91808,13.90260,11.36559,10.72810,3.79654,7.23188,11.84547,8.80621,18.99057,10.69634,1.86368,6.07156,10.91454,13.34359,14.01412,14.33313,13.78595,16.71369,19.05151,3.37246,18.14677,14.29758,11.79181
21.82323,19.38231,26.07227,20.39329,26.80551,24.50924,20.39523,30.28114,22.13386,28.65746,31.56157,21.32562,28.28082,23.74570,36.70146,16.48866,20.69434,19.62520,29.30965,22.01883,24.95351,22.08456,20.62396,24.55994,19.60790,8.46271,19.22400,20.57004,18.52238,26.70106,23.21860,18.04984,33.89072,20.86293,23.74852,19.82246,24.31640,22.70715,23.19314,30.35673,16.50481,15.99311,18.49801,28.87533
11.12931,5.19941,10.99397,12.93930,19.51466,8.75915,14.90983,17.96000,17.51700,16.96908,18.59913,12.29216,6.38441,13.33064,19.81494,15.80849,10.86398,21.97914,20.28853,14.96967,12.85631,16.68894,18.19179,13.36377,31.18167,2.54132,14.97993,11.24047,15.37247,21.42069,4.65914,23.26747,24.45000,23.67844,27.21542,6.31562,13.39466,10.35471,17.09434,20.56621,15.13565,12.08216,12.93937,16.67552
18.17807,24.51744,25.54543,23.42856,37.11302,22.50137,36.80425,29.46133,29.54317,38.33118,17.05582,30.28322,19.88513,27.33705,39.87800,31.27196,30.71108,25.18819,27.68455,31.63945,21.50330,29.84338,29.70071,31.12291,35.37835,24.84692,28.44427,14.99295,30.79389,33.09900,26.09095,31.17505,32.16251,22.89088,31.10701,24.34358,22.97882,29.01036,31.83196,30.36292,22.15499,36.10376,32.72840,27.62747
1.09407,8.22691,13.07782,15.53774,17.58688,14.27872,10.21580,12.66758,16.51609,8.12256,19.51781,21.22133,9.75002,21.00846,10.65482,16.31527,10.74242,11.32729,12.68546,18.47970,15.57261,13.79278,11.18437,16.73681,21.22056,4.96910,2.30391,15.79854,11.72254,15.06078,12.78072,12.66629,17.75086,18.02547,19.86413,14.28425,22.58806,17.49983,13.07487,15.23818,13.93147,14.51550,9.47186,20.39705
16.62748,19.70933,24.76281,24.64569,33.00146,16.89541,19.92117,36.90773,26.54211,29.78733,10.97239,11.30724,25.79347,19.83788,28.62607,20.52948,23.96165,22.00517,31.85658,27.83116,15.21580,21.88224,29.62265,21.05178,26.32682,17.78172,13.27555,22.17578,22.03191,19.66664,22.82220,25.45772,24.95864,26.48379,21.72871,18.60276,19.41116,19.08103,23.22025,28.49364,29.35927,24.56865,27.17693,32.14816
33.34371,23.06036,25.15118,22.85310,33.99060,29.98394,29.15945,33.86142,29.10736,27.90068,24.10763,20.24210,23.14039,42.36672,31.02752,24.01238,29.49590,27.10140,31.12933,45.03197,18.86058,19.70147,27.90468,26.58504,32.40877,23.12604,30.07645,37.93537,30.92383,32.08104,24.50970,23.65261,37.18106,31.34969,40.15014,26.81031,27.85043,34.92824,27.87902,36.26018,23.51990,24.95142,24.25840,26.86394
