cell,UMAP_1,UMAP_2,celltype,group
l1,1.8302,1.7788,T cells,Control
l2,-0.0616,-0.7811,T cells,Control
l3,-0.4203,-0.0844,T cells,Treat
l4,1.9635,0.0091,T cells,Control
l5,-0.4993,0.4207,T cells,Control
l6,-1.5634,0.3599,T cells,Treat
l7,3.527,0.6878,T cells,Control
l8,0.1601,0.3022,T cells,Control
l9,-1.9481,0.959,T cells,Treat
l10,-0.0073,1.3029,T cells,Control
l11,2.4233,2.29,T cells,Control
l12,-1.1673,1.1355,T cells,Treat
l13,0.1144,2.8734,T cells,Control
l14,0.8249,1.6283,T cells,Control
l15,0.1555,1.508,T cells,Treat
l16,0.8431,1.4928,T cells,Control
l17,1.3704,1.7109,T cells,Control
l18,-0.5997,2.3993,T cells,Treat
l19,0.1873,0.9489,T cells,Control
l20,1.7542,2.8262,T cells,Control
l21,0.2281,0.7338,T cells,Treat
l22,0.989,1.5391,T cells,Control
l23,-0.4118,-0.7307,T cells,Control
l24,-1.6074,2.3055,T cells,Treat
l25,-1.4318,2.2003,T cells,Control
l26,-0.2579,2.7216,T cells,Control
l27,2.1891,1.4029,T cells,Treat
l28,-3.3112,1.8632,T cells,Control
l29,1.0179,1.0198,T cells,Control
l30,0.4787,0.6973,T cells,Treat
l31,2.9261,1.8505,T cells,Control
l32,-1.9095,0.1601,T cells,Control
l33,1.3024,1.2618,T cells,Treat
l34,0.3216,0.6732,T cells,Control
l35,-1.4598,0.0268,T cells,Control
l36,-0.5072,3.1647,T cells,Treat
l37,-2.0991,-0.9634,T cells,Control
l38,3.2046,1.1081,T cells,Control
l39,0.838,0.1413,T cells,Treat
l40,2.8603,1.7953,T cells,Control
l41,-1.0173,2.7588,T cells,Control
l42,0.1842,2.1946,T cells,Treat
l43,-1.7061,0.5828,T cells,Control
l44,-1.4361,0.8636,T cells,Control
l45,-0.4114,0.5499,T cells,Treat
l46,-0.8334,1.4285,T cells,Control
l47,1.5701,0.5916,T cells,Control
l48,0.8561,0.2,T cells,Treat
l49,-2.4047,0.3293,T cells,Control
l50,0.4277,1.6682,T cells,Control
l51,1.9438,1.2366,T cells,Treat
l52,-0.3165,0.7551,T cells,Control
l53,0.9589,2.1878,T cells,Control
l54,-1.2044,0.7338,T cells,Treat
l55,2.5824,1.4525,T cells,Control
l56,1.1172,1.8659,T cells,Control
l57,0.6026,2.2852,T cells,Treat
l58,0.1968,0.8504,T cells,Control
l59,-1.5883,1.0144,T cells,Control
l60,-1.9211,0.1664,T cells,Treat
l61,-1.7132,1.0838,T cells,Control
l62,-1.121,0.5114,T cells,Control
l63,-2.2728,-0.1231,T cells,Treat
l64,0.2162,2.1163,T cells,Control
l65,0.9793,-0.7685,T cells,Control
l66,0.4312,1.3459,T cells,Treat
l67,2.4821,1.1114,T cells,Control
l68,1.9762,-0.4299,T cells,Control
l69,1.2131,2.3177,T cells,Treat
l70,-2.4065,0.3631,T cells,Control
l71,-3.7124,0.6171,T cells,Control
l72,-1.5849,1.423,T cells,Treat
l73,1.3486,0.4433,T cells,Control
l74,0.6198,2.4749,T cells,Control
l75,1.2023,0.5698,T cells,Treat
l76,0.2134,-0.0347,T cells,Control
l77,-0.0973,1.9215,T cells,Control
l78,-0.2723,1.4293,T cells,Treat
l79,-0.4632,2.9262,T cells,Control
l80,-0.5506,0.2835,T cells,Control
l81,1.1345,1.6487,T cells,Treat
l82,-1.8076,1.9337,T cells,Control
l83,-0.9078,-0.0288,T cells,Control
l84,0.2072,3.5416,T cells,Treat
l85,0.8456,0.9194,T cells,Control
l86,2.7633,0.6722,T cells,Control
l87,-0.393,2.5262,T cells,Treat
l88,0.1192,1.132,T cells,Control
l89,-2.1575,0.1765,T cells,Control
l90,0.1816,1.5392,T cells,Treat
l91,-0.7959,-0.9393,T cells,Control
l92,1.5494,2.1663,T cells,Control
l93,0.0248,1.4833,T cells,Treat
l94,2.4267,0.0025,T cells,Control
l95,-1.8333,1.1364,T cells,Control
l96,3.2825,0.7077,T cells,Treat
l97,1.081,0.2958,T cells,Control
l98,1.0815,-1.2245,T cells,Control
l99,1.77,0.3807,T cells,Treat
l100,-0.3203,1.8422,T cells,Control
l101,-1.103,-0.8629,T cells,Control
l102,-0.0646,2.2376,T cells,Treat
l103,1.9339,2.5111,T cells,Control
l104,-1.104,1.7089,T cells,Control
l105,-0.6371,2.0561,T cells,Treat
l106,-0.7105,1.1211,T cells,Control
l107,2.3696,1.5616,T cells,Control
l108,1.0337,2.6792,T cells,Treat
l109,1.3622,2.5272,T cells,Control
l110,-1.4469,2.1308,T cells,Control
l111,-3.1546,1.1071,T cells,Treat
l112,-2.3992,0.9567,T cells,Control
l113,0.3894,2.4795,T cells,Control
l114,-1.3346,2.2957,T cells,Treat
l115,-0.2968,0.9694,T cells,Control
l116,-0.7649,1.5977,T cells,Control
l117,-2.2174,5.3131,T cells,Treat
l118,-1.6671,1.2995,T cells,Control
l119,-0.9754,-0.262,T cells,Control
l120,1.8466,0.786,T cells,Treat
l121,0.8497,-0.1386,T cells,Control
l122,0.1453,0.6138,T cells,Control
l123,-1.2733,0.4458,T cells,Treat
l124,3.1184,1.3926,T cells,Control
l125,1.5837,1.3589,T cells,Control
l126,1.3386,2.7348,T cells,Treat
l127,-1.2496,0.5436,T cells,Control
l128,2.3162,-0.1497,T cells,Control
l129,-0.4541,1.4454,T cells,Treat
l130,-1.0784,0.8663,T cells,Control
l131,-0.3044,1.1585,T cells,Control
l132,-1.0757,1.9832,T cells,Treat
l133,2.1939,2.5832,T cells,Control
l134,-0.7946,-0.0538,T cells,Control
l135,-1.2101,1.5463,T cells,Treat
l136,2.4064,1.9489,T cells,Control
l137,0.2061,1.8207,T cells,Control
l138,2.0249,1.1575,T cells,Treat
l139,1.2424,1.7483,T cells,Control
l140,-2.1428,2.3715,T cells,Control
l141,0.6067,0.8573,T cells,Treat
l142,-0.1452,0.5318,T cells,Control
l143,2.7542,2.2186,T cells,Control
l144,-0.005,1.5689,T cells,Treat
l145,0.4359,2.3166,T cells,Control
l146,0.8304,1.7399,T cells,Control
l147,0.7305,2.08,T cells,Treat
l148,1.3486,1.0701,T cells,Control
l149,0.0656,-0.0899,T cells,Control
l150,-0.0696,2.821,T cells,Treat
l151,-0.0803,0.5266,T cells,Control
l152,-0.3745,1.4728,T cells,Control
l153,0.4024,-0.3732,T cells,Treat
l154,-1.4605,1.3445,T cells,Control
l155,0.5334,1.1632,T cells,Control
l156,-0.8316,1.0843,T cells,Treat
l157,-0.1831,0.7769,T cells,Control
l158,0.9148,1.2511,T cells,Control
l159,0.4787,0.6324,T cells,Treat
l160,-1.8209,2.6337,T cells,Control
l161,1.7458,2.737,T cells,Control
l162,1.6339,2.279,T cells,Treat
l163,-0.4072,0.1075,T cells,Control
l164,2.7864,0.2704,T cells,Control
l165,0.2464,-0.667,T cells,Treat
l166,2.8,0.272,T cells,Control
l167,-0.292,0.2241,T cells,Control
l168,0.0267,1.7326,T cells,Treat
l169,3.9255,2.2711,T cells,Control
l170,-0.6289,-0.822,T cells,Control
l171,-0.4721,0.4558,T cells,Treat
l172,0.226,2.0859,T cells,Control
l173,-2.0908,0.873,T cells,Control
l174,1.8063,-0.2318,T cells,Treat
l175,0.1323,1.3116,T cells,Control
l176,-0.5603,-0.1265,T cells,Control
l177,-0.3869,0.5353,T cells,Treat
l178,0.133,2.0319,T cells,Control
l179,0.0942,1.2165,T cells,Control
l180,0.863,0.9964,T cells,Treat
l181,1.1753,0.7831,T cells,Control
l182,-1.5462,-1.1096,T cells,Control
l183,0.3225,0.8432,T cells,Treat
l184,1.1303,1.7818,T cells,Control
l185,-0.0712,-1.2698,T cells,Control
l186,0.984,0.8596,T cells,Treat
l187,-0.7465,1.6946,T cells,Control
l188,0.0089,0.5092,T cells,Control
l189,2.0122,-0.0622,T cells,Treat
l190,-0.0637,2.6452,T cells,Control
l191,1.1631,0.8987,T cells,Control
l192,0.8561,1.3607,T cells,Treat
l193,0.1474,1.4235,T cells,Control
l194,0.3603,-0.0479,T cells,Control
l195,1.7633,-0.2804,T cells,Treat
l196,-1.903,0.4899,T cells,Control
l197,1.2689,1.1027,T cells,Control
l198,0.1699,1.2503,T cells,Treat
l199,1.5018,0.9538,T cells,Control
l200,3.6822,1.5044,T cells,Control
l201,-0.3591,1.6812,T cells,Treat
l202,1.147,0.9224,T cells,Control
l203,0.2369,2.0007,T cells,Control
l204,-0.5559,0.3855,T cells,Treat
l205,-0.475,1.4452,T cells,Control
l206,-1.6202,1.91,T cells,Control
l207,-0.1081,1.3595,T cells,Treat
l208,2.473,1.8962,T cells,Control
l209,0.6069,1.2508,T cells,Control
l210,0.1823,1.6138,T cells,Treat
l211,1.5823,2.1142,T cells,Control
l212,-1.4783,1.7933,T cells,Control
l213,-0.4412,2.3344,T cells,Treat
l214,-1.0584,-0.9028,T cells,Control
l215,-0.1651,1.8931,T cells,Control
l216,2.055,1.0192,T cells,Treat
l217,2.4839,-1.0397,T cells,Control
l218,-0.8252,2.9622,T cells,Control
l219,1.3262,1.7114,T cells,Treat
l220,2.2902,0.6722,T cells,Control
l221,-2.4135,0.9411,T cells,Control
l222,-2.8732,1.6369,T cells,Treat
l223,-0.542,2.7717,T cells,Control
l224,-0.9573,1.739,T cells,Control
l225,1.7321,0.5351,T cells,Treat
l226,1.6631,1.136,T cells,Control
l227,-1.338,-0.4752,T cells,Control
l228,0.976,3.5054,T cells,Treat
l229,-0.632,-1.3505,T cells,Control
l230,-0.9285,0.7149,T cells,Control
l231,-0.8721,1.7641,T cells,Treat
l232,-2.2063,0.0999,T cells,Control
l233,1.0098,0.3452,T cells,Control
l234,-1.7186,2.2879,T cells,Treat
l235,-0.5401,4.1374,T cells,Control
l236,1.4351,2.4391,T cells,Control
l237,-2.4458,0.0935,T cells,Treat
l238,-0.0529,-0.2278,T cells,Control
l239,-1.1212,1.8536,T cells,Control
l240,-3.4001,0.043,T cells,Treat
l241,0.7631,0.4762,T cells,Control
l242,1.667,2.4063,T cells,Control
l243,1.2527,0.8896,T cells,Treat
l244,-2.1883,0.7745,T cells,Control
l245,0.9667,2.4023,T cells,Control
l246,1.844,1.1518,T cells,Treat
l247,0.3435,1.1127,T cells,Control
l248,0.9724,1.5346,T cells,Control
l249,0.586,1.2186,T cells,Treat
l250,1.8293,0.2341,T cells,Control
l251,0.9705,0.5052,T cells,Control
l252,0.8118,2.4783,T cells,Treat
l253,-0.9595,2.2195,T cells,Control
l254,2.3858,-0.4082,T cells,Control
l255,1.2193,1.4916,T cells,Treat
l256,-1.5408,-0.6111,T cells,Control
l257,-1.7315,2.3544,T cells,Control
l258,1.5144,-1.3504,T cells,Treat
l259,-2.4325,1.9946,T cells,Control
l260,1.1864,1.1297,T cells,Control
l261,0.0552,3.0875,T cells,Treat
l262,2.411,-0.3075,T cells,Control
l263,-0.3412,0.6046,T cells,Control
l264,0.2371,-0.1481,T cells,Treat
l265,-1.1032,1.5885,T cells,Control
l266,0.1757,1.0263,T cells,Control
l267,2.029,1.3171,T cells,Treat
l268,-1.9211,1.6978,T cells,Control
l269,-0.6397,0.1286,T cells,Control
l270,-0.1544,0.8695,T cells,Treat
l271,0.2597,3.1929,T cells,Control
l272,2.145,1.9488,T cells,Control
l273,-1.1214,1.209,T cells,Treat
l274,-0.159,3.2118,T cells,Control
l275,-0.9069,-0.7596,T cells,Control
l276,2.996,2.5221,T cells,Treat
l277,0.378,1.1845,T cells,Control
l278,-1.1466,0.9774,T cells,Control
l279,0.3103,0.6757,T cells,Treat
l280,0.9656,0.9577,T cells,Control
l281,0.5913,4.1793,T cells,Control
l282,-0.1257,-0.1693,T cells,Treat
l283,-0.3633,1.9291,T cells,Control
l284,-0.011,-0.784,T cells,Control
l285,-0.5858,1.1312,T cells,Treat
l286,0.4353,1.3446,T cells,Control
l287,2.5162,0.6322,T cells,Control
l288,-0.3018,0.1876,T cells,Treat
l289,-0.7098,0.8074,T cells,Control
l290,-0.1392,0.7795,T cells,Control
l291,0.5287,2.2436,T cells,Treat
l292,0.2706,-0.5213,T cells,Control
l293,1.3692,2.5968,T cells,Control
l294,0.8546,1.2123,T cells,Treat
l295,-0.6551,1.4261,T cells,Control
l296,0.0462,0.2699,T cells,Control
l297,0.6424,-2.2976,T cells,Treat
l298,-0.5628,1.2747,T cells,Control
l299,2.0318,2.3526,T cells,Control
l300,1.2613,3.2184,T cells,Treat
l301,-1.1128,1.3483,T cells,Control
l302,3.1426,0.6436,T cells,Control
l303,0.4634,0.9805,T cells,Treat
l304,1.1322,-0.156,T cells,Control
l305,-2.5165,1.7385,T cells,Control
l306,-0.2645,0.5833,T cells,Treat
l307,-0.1381,0.8191,T cells,Control
l308,-0.4958,2.7884,T cells,Control
l309,-1.2213,1.2411,T cells,Treat
l310,-0.7819,1.0509,T cells,Control
l311,-1.265,0.1688,T cells,Control
l312,1.8262,1.3722,T cells,Treat
