cell,UMAP_1,UMAP_2,celltype,group
c1,4.6549,-4.0149,Fibroblasts,Control
c2,3.1922,-1.8351,Fibroblasts,Control
c3,1.8352,-5.5711,Fibroblasts,Control
c4,3.498,-3.9396,Fibroblasts,HF
c5,5.4397,-3.8042,Fibroblasts,Control
c6,-1.2341,-4.7722,Fibroblasts,Control
c7,4.4727,-0.1945,Fibroblasts,Control
c8,0.6384,-4.9545,Fibroblasts,HF
c9,-0.6397,-6.1083,Fibroblasts,Control
c10,4.0294,-4.2538,Fibroblasts,Control
c11,2.1372,-5.4247,Fibroblasts,Control
c12,4.4077,-2.3312,Fibroblasts,HF
c13,2.2632,-4.0217,Fibroblasts,Control
c14,6.5388,-2.1313,Fibroblasts,Control
c15,1.5938,-5.0287,Fibroblasts,Control
c16,2.4171,-5.447,Fibroblasts,HF
c17,5.0212,-4.5227,Fibroblasts,Control
c18,-0.3041,-5.3239,Fibroblasts,Control
c19,1.6106,-5.1319,Fibroblasts,Control
c20,1.5387,-4.8829,Fibroblasts,HF
c21,4.3653,-3.8933,Fibroblasts,Control
c22,1.6732,-1.8129,Fibroblasts,Control
c23,3.1339,-0.8022,Fibroblasts,Control
c24,1.7763,-1.1035,Fibroblasts,HF
c25,1.2168,-3.3628,Fibroblasts,Control
c26,3.3806,-2.1711,Fibroblasts,Control
c27,5.8959,-5.1631,Fibroblasts,Control
c28,1.0139,-5.4543,Fibroblasts,HF
c29,2.0594,-7.4049,Fibroblasts,Control
c30,-0.4428,-2.5394,Fibroblasts,Control
c31,2.3965,-4.5928,Fibroblasts,Control
c32,1.6494,-6.0482,Fibroblasts,HF
c33,2.8092,-5.3033,Fibroblasts,Control
c34,6.3006,-3.5833,Fibroblasts,Control
c35,2.2283,-2.0238,Fibroblasts,Control
c36,6.2339,-5.1216,Fibroblasts,HF
c37,2.1532,-3.6812,Fibroblasts,Control
c38,0.9972,-3.6243,Fibroblasts,Control
c39,1.701,-4.2933,Fibroblasts,Control
c40,2.676,-1.8001,Fibroblasts,HF
c41,2.4109,-2.7085,Fibroblasts,Control
c42,4.4258,-5.255,Fibroblasts,Control
c43,3.171,-2.2415,Fibroblasts,Control
c44,2.4458,-4.4179,Fibroblasts,HF
c45,7.2083,-3.0478,Fibroblasts,Control
c46,-0.6202,-7.0372,Fibroblasts,Control
c47,1.274,-3.9858,Fibroblasts,Control
c48,-1.2012,-2.1456,Fibroblasts,HF
c49,2.4093,-4.4394,Fibroblasts,Control
c50,2.9418,-4.6711,Fibroblasts,Control
c51,1.3971,-9.1656,Fibroblasts,Control
c52,0.7259,-4.8571,Fibroblasts,HF
c53,0.3372,-6.5684,Fibroblasts,Control
c54,-1.626,-3.3786,Fibroblasts,Control
c55,5.2502,-4.7799,Fibroblasts,Control
c56,2.5048,-3.5901,Fibroblasts,HF
c57,3.7218,-2.6306,Fibroblasts,Control
c58,3.2462,-4.8477,Fibroblasts,Control
c59,0.4019,-6.457,Fibroblasts,Control
c60,3.8561,-3.0095,Fibroblasts,HF
c61,1.0293,-4.8013,Fibroblasts,Control
c62,1.0719,-4.7246,Fibroblasts,Control
c63,-1.2194,0.8184,Fibroblasts,Control
c64,8.1719,-5.92,Fibroblasts,HF
c65,3.1492,-5.0653,Fibroblasts,Control
c66,5.7573,-3.3001,Fibroblasts,Control
c67,3.6604,-4.5886,Fibroblasts,Control
c68,-2.2584,-4.4431,Fibroblasts,HF
c69,2.9384,-8.0464,Fibroblasts,Control
c70,3.7119,-3.4795,Fibroblasts,Control
c71,0.0469,-5.1834,Fibroblasts,Control
c72,5.0939,-6.0824,Fibroblasts,HF
c73,3.2859,-2.322,Fibroblasts,Control
c74,2.2925,-6.1775,Fibroblasts,Control
c75,1.1102,-1.8689,Fibroblasts,Control
c76,2.4723,-4.5362,Fibroblasts,HF
c77,-0.2093,-4.8297,Fibroblasts,Control
c78,3.3158,-1.1174,Fibroblasts,Control
c79,-0.1539,-5.8354,Fibroblasts,Control
c80,3.3016,-1.6677,Fibroblasts,HF
c81,-0.8383,-7.3366,Fibroblasts,Control
c82,5.7301,-5.7029,Fibroblasts,Control
c83,3.692,-3.9435,Fibroblasts,Control
c84,0.7833,-6.8875,Fibroblasts,HF
c85,5.2024,-2.146,Fibroblasts,Control
c86,1.8754,-4.7036,Fibroblasts,Control
c87,3.1812,-6.2607,Fibroblasts,Control
c88,3.1262,-3.3928,Fibroblasts,HF
c89,-1.7139,-3.2699,Fibroblasts,Control
c90,-0.2219,-4.176,Fibroblasts,Control
c91,1.79,-5.5806,Fibroblasts,Control
c92,2.9203,-4.2118,Fibroblasts,HF
c93,1.0209,-2.6967,Fibroblasts,Control
c94,2.6101,-3.5306,Fibroblasts,Control
c95,-1.201,-3.7562,Fibroblasts,Control
c96,2.0844,-2.3795,Fibroblasts,HF
c97,5.8466,-5.3933,Fibroblasts,Control
c98,4.4074,-5.8225,Fibroblasts,Control
c99,4.884,-3.6901,Fibroblasts,Control
c100,2.6429,-4.4486,Fibroblasts,HF
c101,3.0941,-4.5424,Fibroblasts,Control
c102,3.2325,-3.5653,Fibroblasts,Control
c103,3.1971,-2.4926,Fibroblasts,Control
c104,5.3744,-3.4232,Fibroblasts,HF
c105,5.6517,-4.3825,Fibroblasts,Control
c106,3.3615,-6.8792,Fibroblasts,Control
c107,0.1559,-3.6485,Fibroblasts,Control
c108,3.2495,-4.3663,Fibroblasts,HF
c109,2.1298,-6.1258,Fibroblasts,Control
c110,1.3707,-1.5457,Fibroblasts,Control
c111,2.1125,-4.627,Fibroblasts,Control
c112,2.569,-6.1636,Fibroblasts,HF
c113,-1.9441,-6.6523,Fibroblasts,Control
c114,4.1517,-5.7784,Fibroblasts,Control
c115,6.7026,-4.8484,Fibroblasts,Control
c116,4.5397,-0.9688,Fibroblasts,HF
c117,1.585,-5.9202,Fibroblasts,Control
c118,5.3303,-2.3487,Fibroblasts,Control
c119,2.6252,-3.6309,Fibroblasts,Control
c120,0.9585,-5.6261,Fibroblasts,HF
c121,0.0908,-5.6359,Fibroblasts,Control
c122,4.8977,-4.9561,Fibroblasts,Control
c123,1.7733,-7.2338,Fibroblasts,Control
c124,-0.3537,-2.9737,Fibroblasts,HF
c125,1.9935,-3.0933,Fibroblasts,Control
c126,2.6391,-6.8129,Fibroblasts,Control
c127,-2.2674,-3.8091,Fibroblasts,Control
c128,2.7223,-4.3933,Fibroblasts,HF
c129,3.7541,-0.7733,Fibroblasts,Control
c130,5.8738,-5.218,Fibroblasts,Control
c131,3.4043,-4.8931,Fibroblasts,Control
c132,4.3003,-2.3969,Fibroblasts,HF
c133,2.2182,-5.3472,Fibroblasts,Control
c134,4.7743,-4.3684,Fibroblasts,Control
c135,4.6251,-4.1806,Fibroblasts,Control
c136,2.1731,-3.4675,Fibroblasts,HF
c137,4.4482,-4.8055,Fibroblasts,Control
c138,5.899,-2.044,Fibroblasts,Control
c139,-1.7932,-5.8241,Fibroblasts,Control
c140,-0.206,-6.1756,Fibroblasts,HF
c141,3.1152,-3.1204,Fibroblasts,Control
c142,2.4158,-2.9001,Fibroblasts,Control
c143,4.7811,-5.3091,Fibroblasts,Control
c144,3.6639,-3.8183,Fibroblasts,HF
c145,2.1189,-2.3776,Fibroblasts,Control
c146,3.5778,-9.6296,Fibroblasts,Control
c147,2.4432,-2.904,Fibroblasts,Control
c148,0.9864,-4.9104,Fibroblasts,HF
c149,5.4621,-4.0659,Fibroblasts,Control
c150,6.3141,-6.5568,Fibroblasts,Control
