cell,umap_1,umap_2,RNA_snn_res.0.5,newMainCellTypes
cell_00001,-0.72361,7.77322,0,Keratinocyte
cell_00002,0.85368,7.26579,0,Keratinocyte
cell_00003,0.20529,7.42109,0,Keratinocyte
cell_00004,-0.79983,6.61784,0,Keratinocyte
cell_00005,0.53908,6.20223,0,Keratinocyte
cell_00006,0.13993,7.19881,0,Keratinocyte
cell_00007,-0.14605,6.98939,0,Keratinocyte
cell_00008,0.45180,7.12274,0,Keratinocyte
cell_00009,-1.41647,6.24846,0,Keratinocyte
cell_00010,-0.37778,7.16018,0,Keratinocyte
cell_00011,-0.28401,7.32828,0,Keratinocyte
cell_00012,1.21440,6.89084,0,Keratinocyte
cell_00013,-0.54783,7.58114,0,Keratinocyte
cell_00014,-0.07443,8.04053,0,Keratinocyte
cell_00015,0.85378,7.92234,0,Keratinocyte
cell_00016,2.08189,7.59807,0,Keratinocyte
cell_00017,-0.63416,7.07646,0,Keratinocyte
cell_00018,0.56378,6.72063,0,Keratinocyte
cell_00019,0.66165,8.38681,0,Keratinocyte
cell_00020,0.51718,7.09010,0,Keratinocyte
cell_00021,1.49445,7.97865,0,Keratinocyte
cell_00022,0.66326,7.43259,0,Keratinocyte
cell_00023,-0.40855,7.16741,0,Keratinocyte
cell_00024,-0.50376,6.50966,0,Keratinocyte
cell_00025,0.56060,6.20889,0,Keratinocyte
cell_00026,0.77628,7.61294,0,Keratinocyte
cell_00027,-0.16365,7.54360,0,Keratinocyte
cell_00028,1.12887,7.05678,0,Keratinocyte
cell_00029,1.22892,6.79568,0,Keratinocyte
cell_00030,0.61249,7.21541,0,Keratinocyte
cell_00031,0.24465,7.67788,0,Keratinocyte
cell_00032,0.19062,6.99855,0,Keratinocyte
cell_00033,-0.81529,6.51108,0,Keratinocyte
cell_00034,0.88390,7.06789,0,Keratinocyte
cell_00035,-0.33333,7.09114,0,Keratinocyte
cell_00036,0.89012,7.69565,0,Keratinocyte
cell_00037,0.87050,6.73357,0,Keratinocyte
cell_00038,1.71882,6.54243,0,Keratinocyte
