selected,species,representative_flag,taxonomy,regions,products,RiPPs,NRPS,T1PKS,T2_3PKS,Terpenes,Other,domain,representative,n_genomes,selection_rule,tree_tip
TARA_SAMEA2620097_METAG_HNIPLPJP,1000_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__2-02-FULL-58-16;g__GCA-2686765;s__,0,0,0,0,0,0,0,0,Bacteria,TARA_SAMEA2620097_METAG_HNIPLPJP,1,max_regions_first_source_row,TARA_SAMEA2620097_METAG_HNIPLPJP
TARA_SAMEA2623295_METAG_CMPEFAGD,1001_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__2-02-FULL-58-16;g__GCA-2686765;s__,1,1,0,0,0,0,1,0,Bacteria,TARA_SAMEA2623295_METAG_CMPEFAGD,1,max_regions_first_source_row,TARA_SAMEA2623295_METAG_CMPEFAGD
TARA_SAMEA4397330_METAG_KHDOKGAD,1002_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__NRL2;f__NRL2;g__NRL2;s__,6,6,2,1,0,1,1,1,Bacteria,TARA_SAMEA4397330_METAG_KHDOKGAD,2,max_regions_first_source_row,TARA_SAMEA4397330_METAG_KHDOKGAD
TARA_SAMEA2620097_METAG_GBCLGIOP,1003_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__2-02-FULL-58-16;g__;s__,3,3,0,0,0,0,2,1,Bacteria,TARA_SAMEA2620097_METAG_GBCLGIOP,3,max_regions_first_source_row,TARA_SAMEA2620097_METAG_GBCLGIOP
TARA_SAMEA2619970_METAG_JDNKBGLD,1004_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__2-02-FULL-58-16;g__;s__,0,0,0,0,0,0,0,0,Bacteria,TARA_SAMEA2619970_METAG_JDNKBGLD,1,max_regions_first_source_row,TARA_SAMEA2619970_METAG_JDNKBGLD
TARA_SAMEA4397330_METAG_PEGMALHE,1005_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__,4,4,1,1,0,1,1,0,Bacteria,TARA_SAMEA4397586_METAG_EOGAAMKG,3,max_regions_first_source_row,TARA_SAMEA4397586_METAG_EOGAAMKG
TARA_SAMEA4396941_METAG_CIIPALPC,1006_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__,4,4,1,0,0,1,2,0,Bacteria,TARA_SAMEA4397536_METAG_GKHJOLJD,13,max_regions_first_source_row,TARA_SAMEA4397536_METAG_GKHJOLJD
TARA_SAMEA4397174_METAG_MINIGPHF,1007_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__Sphingorhabdus sp002354635,3,3,1,0,0,1,1,0,Bacteria,TARA_SAMEA2621564_METAG_GKALJALI,5,max_regions_first_source_row,TARA_SAMEA2621564_METAG_GKALJALI
TARA_SAMEA4397051_METAG_LHFCPFEC,1008_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__,5,5,0,0,0,1,2,2,Bacteria,TARA_SAMEA4397489_METAG_NCPEBONE,4,max_regions_first_source_row,TARA_SAMEA4397489_METAG_NCPEBONE
TARA_SAMEA4397051_METAG_JLPOLJIE,1009_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__,2,2,1,0,0,1,0,0,Bacteria,TARA_SAMEA4397051_METAG_JLPOLJIE,1,max_regions_first_source_row,TARA_SAMEA4397051_METAG_JLPOLJIE
TARA_SAMEA4397355_METAG_EPJJDLDM,100_1,FALSE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__GCA-2717185;g__;s__,1,1,0,0,0,0,0,1,Bacteria,TARA_SAMEA4397072_METAG_JIPGIEOJ,3,max_regions_first_source_row,TARA_SAMEA4397072_METAG_JIPGIEOJ
TARA_SAMEA4398168_METAG_BDGOMGLD,1010_0,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__,2,2,0,0,0,1,1,0,Bacteria,TARA_SAMEA4398168_METAG_BDGOMGLD,1,max_regions_first_source_row,TARA_SAMEA4398168_METAG_BDGOMGLD
TARA_SAMEA4397948_METAG_BNMPBJDB,1011_1,TRUE,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus;s__,4,4,1,0,0,1,1,1,Bacteria,TARA_SAMEA4397948_METAG_BNMPBJDB,6,max_regions_first_source_row,TARA_SAMEA4397948_METAG_BNMPBJDB
