"gcf","type","n","weight","facet","db","distance"
"gcf_0","RiPPs",1,1,"BGC class","RefSeq",0
"gcf_0","RiPPs",1,1,"BGC class","MIBiG",0.892140126811844
"gcf_10","Terpenes",22,1,"BGC class","RefSeq",0.28150201065483
"gcf_10","Terpenes",22,1,"BGC class","MIBiG",0.850047778930366
"gcf_100","NRPS",5,1,"BGC class","RefSeq",0.420347225816279
"gcf_100","NRPS",5,1,"BGC class","MIBiG",0.519976693604414
"gcf_1000","Terpenes",1,1,"BGC class","RefSeq",0.282135894458759
"gcf_1000","Terpenes",1,1,"BGC class","MIBiG",0.799665831011747
"gcf_10001","RiPPs",1,1,"BGC class","RefSeq",0.330410519993025
"gcf_10001","RiPPs",1,1,"BGC class","MIBiG",0.579915974791597
"gcf_10002","RiPPs",1,0.5,"BGC class","RefSeq",0.190929585360498
"gcf_10002","RiPPs",1,0.5,"BGC class","MIBiG",0.351118933042335
"gcf_10002","T2/3PKS",1,0.5,"BGC class","RefSeq",0.190929585360498
"gcf_10002","T2/3PKS",1,0.5,"BGC class","MIBiG",0.351118933042335
"gcf_10003","RiPPs",1,1,"BGC class","RefSeq",0.397259168937428
"gcf_10003","RiPPs",1,1,"BGC class","MIBiG",0.726765327256898
"gcf_10004","RiPPs",1,1,"BGC class","RefSeq",0.370127687197808
"gcf_10004","RiPPs",1,1,"BGC class","MIBiG",0.664391327397024
"gcf_10005","NRPS",1,1,"BGC class","RefSeq",0.0518960505824806
"gcf_10005","NRPS",1,1,"BGC class","MIBiG",0.448842593823523
"gcf_10008","NRPS",1,1,"BGC class","RefSeq",0.231038539586381
"gcf_10008","NRPS",1,1,"BGC class","MIBiG",0.574402107147983
"gcf_1001","NRPS",1,1,"BGC class","RefSeq",0.28428150476121
"gcf_1001","NRPS",1,1,"BGC class","MIBiG",0.640371391253021
"gcf_10012","Terpenes",1,1,"BGC class","RefSeq",0.330384191387366
"gcf_10012","Terpenes",1,1,"BGC class","MIBiG",0.560424374557302
"gcf_10018","Other",1,1,"BGC class","RefSeq",0
"gcf_10018","Other",1,1,"BGC class","MIBiG",0.206592472624878
"gcf_10019","NRPS",1,1,"BGC class","RefSeq",0.190859394060975
"gcf_10019","NRPS",1,1,"BGC class","MIBiG",0.749776752448444
"gcf_1002","T2/3PKS",1,1,"BGC class","RefSeq",0.276832310287885
"gcf_1002","T2/3PKS",1,1,"BGC class","MIBiG",0.384203577465596
"gcf_10024","NRPS",1,1,"BGC class","RefSeq",0.140957725701315
"gcf_10024","NRPS",1,1,"BGC class","MIBiG",0.162256294485579
"gcf_10026","Other",1,1,"BGC class","RefSeq",0.163096724684765
"gcf_10026","Other",1,1,"BGC class","MIBiG",0.495910894768724
"gcf_10027","Other",1,1,"BGC class","RefSeq",0.579278297658971
"gcf_10027","Other",1,1,"BGC class","MIBiG",0.58819896528487
"gcf_10028","Other",1,1,"BGC class","RefSeq",0.167678202482146
"gcf_10028","Other",1,1,"BGC class","MIBiG",0.313935834569427
"gcf_10031","Other",1,1,"BGC class","RefSeq",0.186716320637755
"gcf_10031","Other",1,1,"BGC class","MIBiG",0.723827614630503
"gcf_10032","RiPPs",1,1,"BGC class","RefSeq",0.271708678372282
"gcf_10032","RiPPs",1,1,"BGC class","MIBiG",0.347208790166133
"gcf_10037","Terpenes",1,1,"BGC class","RefSeq",0.245101330817145
"gcf_10037","Terpenes",1,1,"BGC class","MIBiG",0.715562714592175
"gcf_10038","Other",1,1,"BGC class","RefSeq",0.00749074217634071
"gcf_10038","Other",1,1,"BGC class","MIBiG",0.606322047621483
"gcf_10039","Other",1,1,"BGC class","RefSeq",1.11022302462516e-16
"gcf_10039","Other",1,1,"BGC class","MIBiG",0.677873120600135
"gcf_1004","Other",1,1,"BGC class","RefSeq",0.496553309701681
"gcf_1004","Other",1,1,"BGC class","MIBiG",0.698772983915281
"gcf_10040","Other",1,1,"BGC class","RefSeq",0.50661362365835
"gcf_10040","Other",1,1,"BGC class","MIBiG",0.612540810178315
"gcf_10053","Terpenes",1,1,"BGC class","RefSeq",0.29881682577424
"gcf_10053","Terpenes",1,1,"BGC class","MIBiG",0.429803222570072
"gcf_10056","Other",1,1,"BGC class","RefSeq",0.188938762503554
"gcf_10056","Other",1,1,"BGC class","MIBiG",0.295014949400608
"gcf_10057","Terpenes",1,1,"BGC class","RefSeq",0.182849436924233
"gcf_10057","Terpenes",1,1,"BGC class","MIBiG",0.473388759513693
"gcf_10058","RiPPs",1,1,"BGC class","RefSeq",0.389580582501733
"gcf_10058","RiPPs",1,1,"BGC class","MIBiG",0.476783356430057
"gcf_1006","Other",1,1,"BGC class","RefSeq",0.351248428290927
"gcf_1006","Other",1,1,"BGC class","MIBiG",0.655695138396334
"gcf_10060","Other",2,1,"BGC class","RefSeq",0.0994260162171388
"gcf_10060","Other",2,1,"BGC class","MIBiG",0.757508702611209
"gcf_10061","NRPS",1,1,"BGC class","RefSeq",0.275477748271784
"gcf_10061","NRPS",1,1,"BGC class","MIBiG",0.668032645309386
"gcf_10068","NRPS",1,1,"BGC class","RefSeq",0.497538526384826
"gcf_10068","NRPS",1,1,"BGC class","MIBiG",0.690761555914297
"gcf_10069","Terpenes",3,1,"BGC class","RefSeq",0.218579680511535
"gcf_10069","Terpenes",3,1,"BGC class","MIBiG",0.347921525626475
"gcf_10071","RiPPs",1,1,"BGC class","RefSeq",0.367544467966324
"gcf_10071","RiPPs",1,1,"BGC class","MIBiG",0.552786404500042
"gcf_10075","RiPPs",1,1,"BGC class","RefSeq",0.473828426391326
"gcf_10075","RiPPs",1,1,"BGC class","MIBiG",0.687533373254197
"gcf_1008","NRPS",1,1,"BGC class","RefSeq",0.248325623813016
"gcf_1008","NRPS",1,1,"BGC class","MIBiG",0.457583374767935
"gcf_10081","NRPS",1,0.5,"BGC class","RefSeq",0.00821556594370565
"gcf_10081","NRPS",1,0.5,"BGC class","MIBiG",0.29427558982474
"gcf_10081","T1PKS",1,0.5,"BGC class","RefSeq",0.00821556594370565
"gcf_10081","T1PKS",1,0.5,"BGC class","MIBiG",0.29427558982474
"gcf_10082","RiPPs",1,1,"BGC class","RefSeq",0.0169491525423729
