bin,theta,left,right,bin_genomes,selected,species,regions,products,RiPPs,NRPS,T1PKS,T2_3PKS,Terpenes,Other,taxonomy,half_width,domain
0,1.5746689714978852,1,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
100,1.5862094527127912,51,149,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
200,1.6017000315247458,150,250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
300,1.6171906103367004,251,349,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
400,1.632681189148655,350,450,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
500,1.6481717679606094,451,549,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
600,1.663662346772564,550,650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
700,1.6791529255845186,651,749,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
800,1.6946435043964732,750,850,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
900,1.7101340832084275,851,949,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
1000,1.7256246620203821,950,1050,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
1100,1.7411152408323367,1051,1149,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
1200,1.7566058196442913,1150,1250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
1300,1.7720963984562457,1251,1349,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
1400,1.7875869772682003,1350,1450,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
1500,1.8030775560801549,1451,1549,2,TARA_SAMN05326645_METAG_PSE00065,2685_0,3,3,1,1,0,0,0,1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Caminicellaceae;g__Maledivibacter;s__,0.0069707604653795425,Bacteria
1600,1.8185681348921094,1550,1650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069707604653795425,Bacteria
