genome,species,domain,representative_flag
MARD_SAMEA4707921_REFG_MMP4707921,195_0,Bacteria,TRUE
TARA_SAMEA2621033_METAG_KKHCHOLN,373_0,Bacteria,TRUE
MALA_SAMN05422113_METAG_MLBGOJNK,C1,Bacteria,FALSE
TARA_SAMEA2623477_METAG_GIEMLDKG,C2,Bacteria,FALSE
MARD_SAMN08886631_SAGS_MMP08886631,193_2,Bacteria,TRUE
MARD_SAMN04487806_REFG_MMP04487806,795_0,Bacteria,TRUE
MALA_SAMN05421555_METAG_BIOJCFAG,C1,Bacteria,FALSE
TARA_SAMEA2623741_METAG_DLKGCKBM,C2,Bacteria,FALSE
TARA_SAMEA2623601_METAG_PIAMPJPB,C2,Bacteria,TRUE
MALA_SAMN05422175_METAG_BBPNIOOI,C1,Bacteria,FALSE
MALA_SAMN05422140_METAG_ICPPLJGM,C1,Bacteria,FALSE
MALA_SAMN05422137_METAG_HLLJDLBE,C1,Bacteria,TRUE
TARA_SAMEA2622119_METAG_JEJNGPMI,1098_1,Bacteria,FALSE
TARA_SAMN05326645_METAG_PSE00016,1098_1,Bacteria,TRUE
MARD_SAMN04495211_REFG_MMP04495211,792_0,Bacteria,TRUE
MALA_SAMN05422175_METAG_JCAGPLKC,790_1,Bacteria,FALSE
MALA_SAMN05422140_METAG_KDGIOPII,790_1,Bacteria,FALSE
MALA_SAMN05422189_METAG_KDFHKFLA,790_1,Bacteria,FALSE
MALA_SAMN05422133_METAG_FOGKKEHN,790_1,Bacteria,FALSE
MALA_SAMN05421913_METAG_LICMHBMD,790_1,Bacteria,FALSE
MALA_SAMN05422120_METAG_CMDEFOFJ,790_1,Bacteria,FALSE
MALA_SAMN05422113_METAG_HCMEOPMD,790_1,Bacteria,FALSE
MALA_SAMN05422165_METAG_CHJKKJPH,790_1,Bacteria,FALSE
MALA_SAMN05421555_METAG_IJMJPABA,790_1,Bacteria,FALSE
MALA_SAMN05421697_METAG_LIEFMPLO,790_1,Bacteria,FALSE
MALA_SAMN05422153_METAG_ANPKIMNM,790_1,Bacteria,FALSE
MALA_SAMN05422137_METAG_DPJCFKJG,790_1,Bacteria,FALSE
MALA_SAMN05422127_METAG_BMMMIACD,790_1,Bacteria,TRUE
MARD_SAMEA2271987_REFG_MMP2271987,791_0,Bacteria,TRUE
MALA_SAMN05422115_METAG_ECLHGDNH,790_1,Bacteria,FALSE
MARD_SAMN05017772_REFG_MMP05017772,796_0,Bacteria,TRUE
MARD_SAMEA4707922_REFG_MMP4707922,200_1,Bacteria,TRUE
TARA_SAMEA2620672_METAG_ILIJGAAN,217_1,Bacteria,FALSE
MALA_SAMN05422148_METAG_CKCFHHDP,790_1,Bacteria,FALSE
MALA_SAMN05421697_METAG_FKHHNDDA,C1,Bacteria,FALSE
TARA_SAMN05326645_METAG_PSE00037,927_1,Bacteria,TRUE
MARD_SAMN05897979_REFG_MMP05897979,801_1,Bacteria,FALSE
MARD_SAMN05897987_REFG_MMP05897987,801_1,Bacteria,TRUE
MARD_SAMN05897988_REFG_MMP05897988,801_1,Bacteria,FALSE
MARD_SAMN05898003_REFG_MMP05898003,801_1,Bacteria,FALSE
TARA_SAMN05326641_METAG_ANW00068,2665_1,Bacteria,FALSE
MARD_SAMEA3146264_REFG_MMP3146264,4381_1,Bacteria,FALSE
MARD_SAMEA3146263_REFG_MMP3146263,4381_1,Bacteria,FALSE
TARA_SAMEA2623054_METAG_OCMKBGHM,A2,Bacteria,TRUE
